feature,direction,lag,bucket_type,bucket,label,extreme_deciles,coverage,rows,row_share,events,rate,base,lift,ci_low,ci_high,rho,rho_deciles,sufficient,pass_build,window,pass_holdout
marketcap,LOW,12,drawdown,20-30,launch_300,1,0.9950047490062265,2834,0.10019444935478168,39,0.013761467889908258,0.004843556655471098,2.841190651577044,2.0817710324601806,3.8723937430572963,,0,False,False,build,
marketcap,LOW,12,drawdown,>30,win_50,1,0.9969058561223096,2194,0.10014149436304715,535,0.2438468550592525,0.2962709388835638,0.8230535737934314,0.7639526327839836,0.8851768349185758,0.3333333333333333,10,True,False,build,
marketcap,LOW,12,drawdown,>30,win_100,1,0.9969058561223096,2194,0.10014149436304715,203,0.09252506836827712,0.09840704733214661,0.9402280718370052,0.8241491858337066,1.0707814894005452,0.17575757575757575,10,True,False,build,
marketcap,LOW,12,drawdown,>30,launch_300,1,0.9969058561223096,2194,0.10014149436304715,51,0.02324521422060164,0.02962252955406454,0.784714019043392,0.5983310478166419,1.027357380865721,,0,False,False,build,
marketcap,LOW,12,mst,0-12,win_50,1,0.991859976819579,29572,0.10016190108453404,4366,0.1476396591370215,0.11980680255519201,1.2323144929020837,1.1989491948854196,1.266443793135589,-1.0,10,True,False,build,
marketcap,LOW,12,mst,0-12,win_100,1,0.991859976819579,29572,0.10016190108453404,1509,0.051027999458947655,0.02843430135278856,1.7945930454149641,1.7084201931376632,1.8848676154307504,-1.0,10,True,True,build,
marketcap,LOW,12,mst,0-12,launch_300,1,0.991859976819579,29572,0.10016190108453404,439,0.014845123765724335,0.007397321519296035,2.0068241899450476,1.8288324934981284,2.2018529592399987,-0.9666666666666667,9,True,True,build,
marketcap,LOW,12,mst,13-24,win_50,1,0.9956966427918766,3385,0.10020425683076285,520,0.1536189069423929,0.12160682040200113,1.26324252566236,1.1665871087537882,1.366355543132756,-0.9636363636363636,10,True,False,build,
marketcap,LOW,12,mst,13-24,win_100,1,0.9956966427918766,3385,0.10020425683076285,169,0.0499261447562777,0.025872531896628283,1.9296969061920102,1.6653137362553025,2.233518521533272,-0.9,5,True,True,build,
marketcap,LOW,12,mst,13-24,launch_300,1,0.9956966427918766,3385,0.10020425683076285,43,0.012703101920236336,0.0037003049051241824,3.4329878877400293,2.5524155253152614,4.61211986955313,,0,False,False,build,
marketcap,LOW,12,mst,>24,win_50,1,0.9925934311172923,6145,0.10011567474217566,916,0.14906427990235965,0.1000505058733443,1.4898903169071704,1.40307981987337,1.5810835082067984,-0.9878787878787879,10,True,False,build,
marketcap,LOW,12,mst,>24,win_100,1,0.9925934311172923,6145,0.10011567474217566,297,0.0483319772172498,0.02100066798090552,2.301449518710299,2.059275298944519,2.5704969224174725,-0.9428571428571428,6,True,True,build,
marketcap,LOW,12,mst,>24,launch_300,1,0.9925934311172923,6145,0.10011567474217566,47,0.007648494711147274,0.0036657488717639583,2.0864753638911493,1.5704570448589803,2.7703143525458938,,0,False,False,build,
