system,ticker,signal_date,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,pnl,ret,holding_days,bars_held,partial,rank,notional_in,notional_out
S-B_minervini,TNDM,2019-01-11,2019-01-14,41.71167,105,2019-02-12,47.50375249619999,half_at_2R,598.801042738899,0.1365845554445555,29,20,True,0.9995619798510732,4379.72535,4987.894012100999
S-B_minervini,TWLO,2019-02-01,2019-02-04,113.25313999999999,78,2019-02-14,105.2200947798,stop_7pct,-643.618439488424,-0.0727862837162837,10,8,False,0.9969012837538734,8833.74492,8207.1673928244
S-B_minervini,KEYS,2019-01-25,2019-01-28,71.20112999999999,61,2019-02-19,81.24867,half_at_2R,603.6005022000018,0.138834945386471,22,15,True,0.9386234107847435,4343.268929999999,4956.16887
S-B_minervini,XLNX,2019-01-25,2019-01-28,104.13225262088513,42,2019-02-22,118.59205721982123,half_at_2R,597.9573721420065,0.13658455544455528,25,18,True,0.9368697939500219,4373.554610077175,4980.866403232491
S-B_minervini,SSP,2019-01-11,2019-01-14,17.675150399125208,249,2019-02-28,20.09929727636523,half_at_2R,594.206734961569,0.13487797202797225,45,31,True,0.7958826106000876,4401.112449382177,5004.725021814943
S-B_minervini,TPIC,2019-02-15,2019-02-19,32.460950000000004,282,2019-02-28,30.11321179125001,stop_7pct,-679.7080884926308,-0.07417849650349628,9,7,False,0.9379982285208148,9153.987900000002,8491.925725132503
S-B_minervini,GKOS,2019-03-01,2019-03-04,72.99292,132,2019-03-04,67.81553218440001,stop_7pct,-702.0019073475378,-0.07278628371628337,0,0,False,0.9801980198019802,9635.06544,8951.650248340802
S-B_minervini,XLNX,2019-01-25,2019-01-28,104.13225262088513,42,2019-03-11,116.88085355092669,close_below_sma20_volume,526.1586886025298,0.120184404314025,42,29,True,0.9368697939500219,4373.554610077175,4908.995849138921
S-B_minervini,ACIW,2019-02-01,2019-02-04,29.499469999999995,150,2019-03-14,33.59576640419999,half_at_2R,604.9801751693694,0.13658455544455528,38,27,True,0.8397521027003099,4424.920499999999,5039.364960629999
S-B_minervini,UPBD,2019-03-08,2019-03-11,14.341542274321796,650,2019-03-20,13.304290229331473,stop_7pct,-692.1836203710827,-0.07417849650349628,9,7,False,0.9890206411945542,9322.002478309167,8647.788649065458
S-B_minervini,AXSM,2019-03-22,2019-03-25,14.13525,327,2019-03-25,16.0738995375,half_at_2R,624.0600068637386,0.13487797202797225,0,0,True,0.9978012313104662,4622.22675,5256.1651487625
S-B_minervini,AXSM,2019-03-22,2019-03-25,14.13525,327,2019-03-26,14.099911875,breakeven_stop,-20.788464808124445,-0.0044930069930069205,1,1,True,0.9978012313104662,4622.22675,4610.671183125
S-B_minervini,SSP,2019-01-11,2019-01-14,17.675150399125208,249,2019-03-28,20.74614635946328,close_below_sma20_volume,755.1110912312915,0.17140137707744563,73,51,True,0.7958826106000876,4401.112449382177,5165.7904435063565
S-B_minervini,TNDM,2019-01-11,2019-01-14,41.71167,106,2019-03-28,63.42651,close_below_sma20_volume,2290.628392920001,0.5175557273610412,73,51,True,0.9995619798510732,4421.437019999999,6723.21006
S-B_minervini,OMCL,2019-02-08,2019-02-11,77.39731999999998,96,2019-04-17,71.90752809239999,stop_7pct,-541.3532885464692,-0.0727862837162836,65,46,False,0.9565987599645704,7430.142719999998,6903.122696870399
S-B_minervini,KEYS,2019-01-25,2019-01-28,71.20112999999999,62,2019-04-18,88.40151,close_below_sma20_volume,1056.5281963200005,0.2390938684034034,80,57,True,0.9386234107847435,4414.47006,5480.89362
S-B_minervini,IPAR,2019-03-08,2019-03-11,67.34487508337608,138,2019-04-25,62.56810309371222,stop_7pct,-677.1225255620502,-0.0727862837162836,45,32,False,0.9626701800614844,9293.592761505899,8634.398226932286
S-B_minervini,RNG,2019-02-08,2019-02-11,101.44935140783016,43,2019-04-29,115.53660834432145,half_at_2R,596.4216519997835,0.1365845554445555,77,53,True,0.9627989371124889,4362.322110536697,4968.074158805823
S-B_minervini,THS,2019-03-29,2019-04-01,64.77470999999998,144,2019-05-02,59.94,stop_7pct,-714.1571582399974,-0.07648772552992089,31,22,False,0.9375824175824176,9327.558239999998,8631.36
S-B_minervini,NSSC,2019-04-18,2019-04-22,11.144263355817873,415,2019-05-06,12.672699075068294,half_at_2R,624.4167840801065,0.1348779720279718,14,10,True,0.9786689419795221,4624.869292664417,5259.170116153342
S-B_minervini,DAR,2019-01-18,2019-01-22,21.36134,414,2019-05-09,19.77021,stop_7pct,-675.7562816999989,-0.07633560998892941,107,75,False,0.759421560035057,8843.59476,8184.86694
S-B_minervini,ACIW,2019-02-01,2019-02-04,29.499469999999995,151,2019-05-09,33.15681,close_below_sma20_volume,542.7972417200008,0.12173414055820775,94,66,True,0.8397521027003099,4454.419969999999,5006.67831
S-B_minervini,JYNT,2019-05-10,2019-05-13,18.997374999999998,499,2019-05-13,17.623389853124998,stop_7pct,-703.8923499523335,-0.0741784965034964,0,0,False,0.9874892148403797,9479.690125,8794.071536709374
S-B_minervini,TLRA,2019-05-10,2019-05-13,8.300699999999999,1142,2019-05-13,7.700351872500001,stop_7pct,-703.8707628433931,-0.07417849650349628,0,0,False,0.9710957722174288,9479.399399999998,8793.801838395
S-B_minervini,IPHI,2019-04-18,2019-04-22,46.99695,196,2019-05-16,43.6634563365,stop_7pct,-671.1341976879539,-0.0727862837162837,24,18,False,0.9099829351535836,9211.4022,8558.037441954
S-B_minervini,FNSR,2019-02-01,2019-02-04,22.75273,390,2019-05-20,20.979,stop_7pct,-708.810074699999,-0.07979904318805175,105,73,False,0.8401947764497565,8873.564699999999,8181.8099999999995
S-B_minervini,MRCY,2019-04-26,2019-04-29,72.57249999999999,128,2019-05-21,67.424932575,stop_7pct,-676.808301769599,-0.0727862837162836,22,16,False,0.9701492537313433,9289.279999999999,8630.3913696
S-B_minervini,GLDD,2019-05-03,2019-05-06,11.127749999999999,855,2019-05-23,10.322935481250001,stop_7pct,-706.4567496177169,-0.07417849650349628,17,13,False,0.9801210025929127,9514.22625,8826.109836468751
S-B_minervini,COUP,2019-05-24,2019-05-28,113.11299999999999,78,2019-06-03,105.08989491,stop_7pct,-642.8220228229784,-0.0727862837162836,6,4,False,0.9827437446074202,8822.813999999998,8197.01180298
