system,date,equity,cash,positions
S-B_minervini,2015-12-29,104404.27275488971,51115.870754889715,5
S-B_minervini,2015-12-30,103906.74675488971,51115.870754889715,5
S-B_minervini,2015-12-31,103875.78875488971,51115.870754889715,5
S-B_minervini,2016-01-04,101337.06524359103,59966.38224359104,4
S-B_minervini,2016-01-05,100902.70138728974,69576.59438728975,3
S-B_minervini,2016-01-06,100724.59038728975,69576.59438728975,3
S-B_minervini,2016-01-07,99715.07903292347,88668.50903292348,1
S-B_minervini,2016-01-08,99669.94403292348,88668.50903292348,1
S-B_minervini,2016-01-11,99933.5352758235,78706.90027582349,2
S-B_minervini,2016-01-12,100460.67627582348,78706.90027582349,2
S-B_minervini,2016-01-13,100289.86727582349,78706.90027582349,2
S-B_minervini,2016-01-14,100253.80627582349,78706.90027582349,2
S-B_minervini,2016-01-15,100075.68627582348,78706.90027582349,2
S-B_minervini,2016-01-19,100180.79957345349,68724.5955734535,3
S-B_minervini,2016-01-20,99519.0545734535,68724.5955734535,3
S-B_minervini,2016-01-21,99691.8885734535,68724.5955734535,3
S-B_minervini,2016-01-22,99951.0711009785,78714.5431009785,2
S-B_minervini,2016-01-25,99695.58310097849,78714.5431009785,2
S-B_minervini,2016-01-26,100164.2661009785,78714.5431009785,2
S-B_minervini,2016-01-27,99892.76210097849,78714.5431009785,2
S-B_minervini,2016-01-28,100258.39810097849,78714.5431009785,2
S-B_minervini,2016-01-29,99801.43910097849,78714.5431009785,2
S-B_minervini,2016-02-01,99884.40110097849,78714.5431009785,2
S-B_minervini,2016-02-02,99196.36169772076,87937.21469772076,1
S-B_minervini,2016-02-03,99161.49269772077,87937.21469772076,1
S-B_minervini,2016-02-04,99196.36169772076,87937.21469772076,1
S-B_minervini,2016-02-05,99171.93569772076,87937.21469772076,1
S-B_minervini,2016-02-08,99177.24569772076,87937.21469772076,1
S-B_minervini,2016-02-09,99198.13169772076,87937.21469772076,1
S-B_minervini,2016-02-10,99217.24769772076,87937.21469772076,1
S-B_minervini,2016-02-11,99201.49469772076,87937.21469772076,1
S-B_minervini,2016-02-12,99192.82169772076,87937.21469772076,1
S-B_minervini,2016-02-16,99189.28169772075,87937.21469772076,1
S-B_minervini,2016-02-17,99264.15269772075,87937.21469772076,1
S-B_minervini,2016-02-18,99229.10669772077,87937.21469772076,1
S-B_minervini,2016-02-19,99306.45569772075,87937.21469772076,1
S-B_minervini,2016-02-22,99306.45569772075,87937.21469772076,1
S-B_minervini,2016-02-23,99281.85269772075,87937.21469772076,1
S-B_minervini,2016-02-24,99327.51869772076,87937.21469772076,1
S-B_minervini,2016-02-25,99374.77769772075,87937.21469772076,1
S-B_minervini,2016-02-26,99316.89869772075,87937.21469772076,1
S-B_minervini,2016-02-29,99288.75569772076,87937.21469772076,1
S-B_minervini,2016-03-01,99269.46269772077,87937.21469772076,1
S-B_minervini,2016-03-02,99315.12869772076,87937.21469772076,1
S-B_minervini,2016-03-03,99286.98569772075,87937.21469772076,1
S-B_minervini,2016-03-04,99315.12869772076,87937.21469772076,1
S-B_minervini,2016-03-07,99329.28869772075,87937.21469772076,1
S-B_minervini,2016-03-08,99294.06569772075,87937.21469772076,1
S-B_minervini,2016-03-09,99306.45569772075,87937.21469772076,1
S-B_minervini,2016-03-10,99288.75569772076,87937.21469772076,1
S-B_minervini,2016-03-11,99297.60569772076,87937.21469772076,1
S-B_minervini,2016-03-14,99246.62969772075,87937.21469772076,1
S-B_minervini,2016-03-15,99269.46269772077,87937.21469772076,1
S-B_minervini,2016-03-16,99327.51869772076,87937.21469772076,1
S-B_minervini,2016-03-17,99345.04169772076,87937.21469772076,1
S-B_minervini,2016-03-18,99262.55969772076,87937.21469772076,1
S-B_minervini,2016-03-21,99603.86828453513,48263.19528453513,5
S-B_minervini,2016-03-22,99685.82228453513,48263.19528453513,5
S-B_minervini,2016-03-23,97531.20016561812,57445.79116561814,4
S-B_minervini,2016-03-24,97397.88925248332,66556.27125248332,3
S-B_minervini,2016-03-28,97782.05958433331,56819.025584333314,4
S-B_minervini,2016-03-29,98169.44058433332,56819.025584333314,4
S-B_minervini,2016-03-30,97581.55858433331,56819.025584333314,4
S-B_minervini,2016-03-31,97475.60058433333,56819.025584333314,4
S-B_minervini,2016-04-01,97828.6595843333,56819.025584333314,4
S-B_minervini,2016-04-04,96953.522699854,37.41169985399665,10
S-B_minervini,2016-04-05,95820.66912425544,9052.363124255444,9
S-B_minervini,2016-04-06,96672.59612425545,9052.363124255444,9
S-B_minervini,2016-04-07,95905.10817485169,18100.54717485168,8
S-B_minervini,2016-04-08,95787.76304382805,27139.36204382805,7
S-B_minervini,2016-04-11,95402.74545641604,14.425456416020097,10
S-B_minervini,2016-04-12,95460.28145641604,14.425456416020097,10
S-B_minervini,2016-04-13,96039.487456416,14.425456416020097,10
S-B_minervini,2016-04-14,95187.20545641604,14.425456416020097,10
S-B_minervini,2016-04-15,95297.06845641602,14.425456416020097,10
S-B_minervini,2016-04-18,95933.02645641602,14.425456416020097,10
S-B_minervini,2016-04-19,95558.31145641602,14.425456416020097,10
S-B_minervini,2016-04-20,95235.9461765612,9066.011176561196,9
