system,date,equity,cash,positions
S-A_canslim,2021-10-11,107445.75597017111,107445.75597017111,0
S-A_canslim,2021-10-12,107445.75597017111,107445.75597017111,0
S-A_canslim,2021-10-13,107445.75597017111,107445.75597017111,0
S-A_canslim,2021-10-14,107445.75597017111,107445.75597017111,0
S-A_canslim,2021-10-15,107445.75597017111,107445.75597017111,0
S-A_canslim,2021-10-18,107353.83674555589,96717.98074555589,1
S-A_canslim,2021-10-19,107217.0847455559,96717.98074555589,1
S-A_canslim,2021-10-20,107346.79674555588,96717.98074555589,1
S-A_canslim,2021-10-21,107365.80474555588,96717.98074555589,1
S-A_canslim,2021-10-22,107434.97274555589,96717.98074555589,1
S-A_canslim,2021-10-25,107576.82874555589,96717.98074555589,1
S-A_canslim,2021-10-26,107384.81274555589,96717.98074555589,1
S-A_canslim,2021-10-27,106936.89274555589,96717.98074555589,1
S-A_canslim,2021-10-28,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-10-29,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-01,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-02,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-03,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-04,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-05,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-08,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-09,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-10,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-11,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-12,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-15,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-16,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-17,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-18,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-19,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-22,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-23,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-24,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-26,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-29,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-11-30,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-01,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-02,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-03,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-06,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-07,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-08,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-09,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-10,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-13,106543.18998062659,106543.18998062659,0
S-A_canslim,2021-12-14,106543.18998062659,106543.18998062659,0
