flag,lag,bucket_type,bucket,rows_all,n_nn,n_true,k_nn,k_true,threshold,coverage,true_share,base,rate,lift,ci_low,ci_high,events,sufficient,passes
h14_vol_contraction,3,drawdown,20-30,28427,28399,3334,36,2,launch_500,0.9990150209308052,0.11739849994718124,0.0012676502693756823,0.0005998800239952009,0.47322202226221416,0.12978670814755391,1.7234534897570164,2,False,False
h14_vol_contraction,3,drawdown,>30,21977,21969,1960,123,7,launch_500,0.9996359830732129,0.08921662342391552,0.005598798306704902,0.0035714285714285713,0.6378919860627178,0.30918663196901464,1.3134792939393958,7,False,False
h14_vol_contraction,3,mst,0-12,297665,297439,26925,515,36,launch_500,0.9992407572270842,0.09052276265049304,0.001731447456453256,0.0013370473537604457,0.7722136463206859,0.5579065932077479,1.0686893779743971,36,False,False
h14_vol_contraction,3,mst,13-24,33927,33908,5145,43,3,launch_500,0.9994399740619565,0.15173410404624277,0.0012681373127285595,0.0005830903790087463,0.45980066445182727,0.15638899175653115,1.3508554180237602,3,False,False
h14_vol_contraction,3,mst,>24,61837,61803,5809,71,7,launch_500,0.9994501673755195,0.09399220102584017,0.0011488115463650632,0.0012050266827336891,1.0489332968026788,0.5082159206651947,2.163517317828102,7,False,False
h14_vol_contraction,6,all,ALL,393429,392680,37743,623,50,launch_500,0.9980962257484832,0.09611643068147092,0.0015865335642253234,0.0013247489600720663,0.8349958613821814,0.6335023719952764,1.1004649140166705,50,False,False
h14_vol_contraction,6,drawdown,0-10,304121,303519,28851,411,38,launch_500,0.9980205247253561,0.09505500479376909,0.0013541162167772034,0.001317112058507504,0.9726728342728446,0.7088008481139566,1.3346012371583553,38,False,False
h14_vol_contraction,6,drawdown,10-20,38904,38824,3314,53,5,launch_500,0.9979436561793131,0.08535957139913455,0.0013651349680609932,0.0015087507543753772,1.105202628073012,0.47219868795941083,2.5837822850947867,5,False,False
h14_vol_contraction,6,drawdown,20-30,28427,28374,3661,36,3,launch_500,0.9981355753333099,0.12902657362374004,0.0012687671812222456,0.0008194482381862879,0.6458617863971593,0.21968144279105764,1.896838447260582,3,False,False
h14_vol_contraction,6,drawdown,>30,21977,21963,1917,123,4,launch_500,0.9993629703781226,0.08728315803851933,0.00560032782406775,0.0020865936358894104,0.37258419532552134,0.1449424881992265,0.9558367774245337,4,False,False
h14_vol_contraction,6,mst,0-12,297665,297077,27784,509,39,launch_500,0.9980246249979003,0.09352457443693049,0.0017133605092282472,0.0014036855744313274,0.8192587414446669,0.5994351493956364,1.1195407874844487,39,False,False
h14_vol_contraction,6,mst,13-24,33927,33881,4257,43,1,launch_500,0.9986441477289475,0.1256456421002922,0.0012691479000029515,0.0002349072116513977,0.1850904939060699,0.032673965042902604,1.0475497652309804,1,False,False
h14_vol_contraction,6,mst,>24,61837,61722,5702,71,10,launch_500,0.9981402720054336,0.092381970772172,0.0011503191730663296,0.00175377060680463,1.5245947801858504,0.8283914558139684,2.804017752661757,10,False,False
h14_vol_contraction,12,all,ALL,393429,386767,36220,585,46,launch_500,0.9830668303556678,0.09364811372221518,0.0015125385568055185,0.001270016565433462,0.839658969167528,0.6296394291262796,1.1196128852607072,46,False,False
h14_vol_contraction,12,drawdown,0-10,304121,298509,26690,377,29,launch_500,0.9815468185360432,0.0894110395331464,0.0012629434958409964,0.0010865492693892843,0.8603308643398565,0.5991283207170665,1.2352323437798993,29,False,False
h14_vol_contraction,12,drawdown,10-20,38904,38316,3973,49,3,launch_500,0.9848858729179519,0.10369036433865748,0.0012788391272575425,0.0007550969041026932,0.590454958726506,0.20083336938953184,1.7342749904843489,3,False,False
h14_vol_contraction,12,drawdown,20-30,28427,28172,4025,36,7,launch_500,0.9910296549055475,0.1428723555303138,0.001277864546358086,0.0017391304347826088,1.3609661835748792,0.6594574687157573,2.806038235017161,7,False,False
h14_vol_contraction,12,drawdown,>30,21977,21770,1532,123,7,launch_500,0.9905810620193839,0.07037207165824529,0.005649977032613688,0.0045691906005221935,0.8087095884013671,0.39204800085009356,1.6640191480197468,7,False,False
h14_vol_contraction,12,mst,0-12,297665,292337,24789,477,27,launch_500,0.9821006836544438,0.08479597177230389,0.0016316785080232746,0.0010891927871233208,0.6675290394324324,0.4588518812872111,0.970958156991009,27,False,False
h14_vol_contraction,12,mst,13-24,33927,33592,4742,43,6,launch_500,0.9901258584608129,0.14116456299118837,0.0012800666825434628,0.0012652889076339097,0.9884554647729835,0.45311563169736946,2.154534697058834,6,False,False
h14_vol_contraction,12,mst,>24,61837,60838,6689,65,13,launch_500,0.9838446237689409,0.10994773003714783,0.001068411190374437,0.0019434893108087904,1.8190461952459263,1.0634240672081632,3.1097940623046254,13,False,False
h15_near_high,0,all,ALL,393429,390561,202715,604,93,launch_500,0.9927102475923228,0.5190354387662874,0.0015464933774749655,0.0004587721678218188,0.29665317323949897,0.24218718891666238,0.3633612411758204,93,False,False
h15_near_high,0,drawdown,0-10,304121,301710,171849,395,69,launch_500,0.9920722344067,0.5695833747638461,0.0013092042027112128,0.0004015152837665625,0.306686522190404,0.24236753413373427,0.3880656737464227,69,False,False
h15_near_high,0,drawdown,10-20,38904,38645,16036,50,14,launch_500,0.9933425868805265,0.4149566567473153,0.0012938284383490748,0.000873035669743078,0.674769269144425,0.40201578780053676,1.1323050864077877,14,False,False
h15_near_high,0,drawdown,20-30,28427,28292,12427,36,6,launch_500,0.9952509937735252,0.4392407747773222,0.0012724445072812103,0.00048281966685442986,0.37944261151793135,0.17391624784481227,0.8275949177332844,6,False,False
h15_near_high,0,drawdown,>30,21977,21914,2403,123,4,launch_500,0.9971333667015516,0.1096559277174409,0.005612850232727937,0.0016645859342488557,0.296566960675849,0.11536196795467178,0.7611831462049399,4,False,False
h15_near_high,0,mst,0-12,297665,295379,148627,493,63,launch_500,0.9923202257571431,0.5031738884619421,0.0016690421458532936,0.00042387991414749674,0.25396597395734977,0.19852831852005354,0.32487581317597036,63,False,False
