flag,lag,bucket_type,bucket,rows_all,n_nn,n_true,k_nn,k_true,threshold,coverage,true_share,base,rate,lift,ci_low,ci_high,events,sufficient,passes,window,confirm
h9_rs6_top_decile,6,drawdown,10-20,34770,31942,2933,132,7,launch_500,0.9186655162496405,0.09182267860497151,0.004132490138375806,0.002386634844868735,0.5775294713242207,0.2798729862293826,1.1901970821030223,7,False,False,holdout,False
h9_rs6_top_decile,6,drawdown,20-30,2498,2331,224,12,1,launch_500,0.9331465172137711,0.0960960960960961,0.005148005148005148,0.004464285714285714,0.8671875,0.15316441603301184,4.827067861547873,1,False,False,holdout,False
h9_rs6_top_decile,6,mst,0-12,121373,109634,10213,384,32,launch_500,0.9032816194705577,0.09315540799387051,0.003502563073499097,0.003133261529423284,0.8945624857208132,0.6339360419834261,1.261864135546442,32,False,False,holdout,False
h9_rs6_top_decile,6,mst,13-24,14356,13504,1265,96,19,launch_500,0.9406519921983839,0.09367594786729858,0.0071090047393364926,0.015019762845849802,2.112779973649539,1.3555149080760776,3.2831249378283656,19,False,False,holdout,False
h9_rs6_top_decile,12,all,ALL,135729,117572,10653,460,51,launch_500,0.8662260828562798,0.09060830810056816,0.003912496172558092,0.0047873838355392846,1.2236136789391845,0.9311904594253821,1.6072874407973223,51,False,False,holdout,False
h9_rs6_top_decile,12,drawdown,0-10,98461,84569,7693,324,35,launch_500,0.8589086034064248,0.09096713925906656,0.0038311910983930284,0.004549590536851683,1.1875133398487963,0.8543614983740375,1.6497514419366823,35,False,False,holdout,False
h9_rs6_top_decile,12,drawdown,10-20,34770,30809,2765,125,15,launch_500,0.886079953983319,0.0897465026453309,0.004057255996624363,0.0054249547920434,1.3370994575045207,0.8109897401579764,2.2014514477028913,15,False,False,holdout,False
h9_rs6_top_decile,12,drawdown,20-30,2498,2194,195,11,1,launch_500,0.8783026421136909,0.08887876025524157,0.005013673655423883,0.005128205128205128,1.0228438228438228,0.18067159840777028,5.678798214956724,1,False,False,holdout,False
h9_rs6_top_decile,12,mst,0-12,121373,104422,9505,377,41,launch_500,0.8603396142469907,0.09102487981459846,0.0036103503093217904,0.004313519200420831,1.1947647266481274,0.881190517947922,1.619270798995146,41,False,False,holdout,False
h9_rs6_top_decile,12,mst,13-24,14356,13150,1148,83,10,launch_500,0.9159933129005294,0.08730038022813688,0.006311787072243346,0.008710801393728223,1.3800847991268208,0.750713708891999,2.528636368196767,10,False,False,holdout,False
h9_rs12_top_decile,0,all,ALL,135729,133598,13385,569,82,launch_500,0.9842995969910631,0.10018862557822722,0.004259045794098714,0.006126260739633919,1.4384115681785805,1.1595707758164995,1.7837929754467843,82,False,False,holdout,False
h9_rs12_top_decile,0,drawdown,0-10,98461,96864,9705,409,71,launch_500,0.9837803800489534,0.1001920218037661,0.0042224149322761815,0.0073158165893869136,1.732614323018029,1.3746776394474092,2.1828860349466255,71,False,False,holdout,False
h9_rs12_top_decile,0,drawdown,10-20,34770,34287,3435,148,10,launch_500,0.9861087144089733,0.10018374310963339,0.004316504797736751,0.002911208151382824,0.6744364451788033,0.3665246220273162,1.2396340423144003,10,False,False,holdout,False
h9_rs12_top_decile,0,drawdown,20-30,2498,2447,245,12,1,launch_500,0.9795836669335468,0.10012259910093993,0.004903964037597058,0.004081632653061225,0.832312925170068,0.14699783664948324,4.63986858383914,1,False,False,holdout,False
h9_rs12_top_decile,0,mst,0-12,121373,119319,11955,460,58,launch_500,0.9830769611033755,0.10019359867246624,0.0038552116595010014,0.004851526557925554,1.2584332551415633,0.9740392318432255,1.625340642548308,58,False,False,holdout,False
