feature,lag,decile,rows,k_win,k_loss,median_fwd_12m,coverage,win_100_rate,loss_50_rate,ratio,sufficient
ret_12m_skip1,12,9,52618,1550,3258,0.0657494694386902,0.9426581267306445,0.02945760006081569,0.06191797483750808,0.47575199508901167,True
ret_12m_skip1,12,10,52730,2753,5883,0.021015986574001944,0.9426581267306445,0.05220936848094064,0.1115683671534231,0.46795852456229814,True
eps_growth_q0,0,1,41979,2213,4493,0.03800763623741754,0.7485895135030574,0.05271683460778008,0.1070297053288549,0.49254395726685957,True
eps_growth_q0,0,2,41754,1634,2922,0.0610427843200565,0.7485895135030574,0.03913397518800594,0.06998131915505101,0.5592060232717316,True
eps_growth_q0,0,3,41804,1133,2080,0.07000026898318545,0.7485895135030574,0.02710266960099512,0.04975600421012343,0.5447115384615385,True
eps_growth_q0,0,4,42183,879,1590,0.08185844596375902,0.7485895135030574,0.020837778251902424,0.03769290946589859,0.5528301886792452,True
eps_growth_q0,0,5,41768,726,1254,0.08385270074588747,0.7485895135030574,0.01738172763838345,0.030022984102662326,0.5789473684210525,True
eps_growth_q0,0,6,41389,648,1244,0.08817146363731587,0.7485895135030574,0.01565633380849984,0.030056295150885502,0.5209003215434083,True
eps_growth_q0,0,7,41789,655,1285,0.08773120151036884,0.7485895135030574,0.01567398119122257,0.03074971882552825,0.5097276264591439,True
eps_growth_q0,0,8,41723,878,1627,0.0786942977109577,0.7485895135030574,0.021043549121587613,0.03899527838362534,0.5396435156730178,True
eps_growth_q0,0,9,41903,1188,1901,0.07332454279653722,0.7485895135030574,0.028351192038756176,0.04536668018996253,0.62493424513414,True
eps_growth_q0,0,10,41659,1542,2564,0.05834186284544529,0.7485895135030574,0.03701481072517343,0.06154732470774622,0.6014040561622465,True
eps_growth_q0,3,1,41540,2166,4266,0.040565461584636475,0.7408394499192217,0.05214251324025036,0.102696196437169,0.5077355836849508,True
eps_growth_q0,3,2,41327,1578,2731,0.06658329859663747,0.7408394499192217,0.038183270017180054,0.06608270622111452,0.5778103258879532,True
eps_growth_q0,3,3,41401,1076,2107,0.06847430422196088,0.7408394499192217,0.025989710393468757,0.05089249051955267,0.5106786900806835,True
eps_growth_q0,3,4,41769,854,1664,0.0802102011468746,0.7408394499192217,0.020445785151667506,0.03983815748521631,0.5132211538461539,True
eps_growth_q0,3,5,41109,746,1238,0.08501615508885307,0.7408394499192217,0.018146877812644433,0.030115059962538618,0.6025848142164781,True
eps_growth_q0,3,6,41130,712,1292,0.08978737579727536,0.7408394499192217,0.017310965232190615,0.03141259421346949,0.5510835913312694,True
