label,lag,feature,winners,population,winner_median_decile,winner_mean_decile,winner_coverage,population_median_decile,population_mean_decile,population_coverage
launch_300,0,net_debt_to_ebitda,4301,529158,6.0,5.619320507572657,0.5680074401302023,6.0,5.500416183694872,0.85593527831007
launch_300,0,share_count_change_8q,4301,529158,8.0,6.87072342648211,0.8902580795163916,6.0,5.499891736703663,0.9425993748559032
launch_300,0,shareholder_yield,4301,529158,3.0,3.9702038682697336,0.8895605673099279,6.0,5.500327841240623,0.9424727586089598
launch_300,0,marketcap,4301,529158,3.0,3.8251569402464543,1.0,6.0,5.500211339551581,0.9970311324783901
launch_300,0,pb,4301,529158,6.0,5.695773221969122,0.9186235759125785,5.0,5.41214434926079,0.9598399721822216
launch_300,0,dividend_yield,4301,529158,1.0,2.503257328990228,0.9993024877935364,5.0,4.4822592351775965,0.9998223592953334
launch_300,0,realized_vol_12m,4301,529158,9.0,8.426155312053359,0.9760520809114159,6.0,5.500398363849148,0.9914732461760004
launch_300,6,ret_6m_skip1,4301,529158,4.0,5.053892215568863,0.9707044873285282,6.0,5.500339426436252,0.988251146160504
launch_300,6,ret_12m_skip1,4301,529158,4.0,4.923387096774194,0.9225761450825389,6.0,5.5004092293955935,0.9651484055801859
launch_300,6,eps_growth_q0,4301,529158,4.0,4.924012158054711,0.4589630318530574,5.0,5.495551203565205,0.735307790867756
launch_300,6,rev_growth_accel,4301,529158,5.0,5.38937518865077,0.7702859800046501,6.0,5.50039722617805,0.8944058296387847
launch_300,6,op_margin_delta,4301,529158,5.0,5.409510869565217,0.8556149732620321,6.0,5.500463423844015,0.9358773749995275
launch_300,6,peg,4301,529158,4.0,4.392722710163111,0.1853057428504999,6.0,5.500912193837727,0.40916134689450034
launch_300,6,pe,4301,529158,6.0,5.566124109867752,0.45710299930248777,5.0,5.487765061605586,0.7675061134859531
launch_300,6,pe_vs_5y_median,4301,529158,5.0,5.3328719723183395,0.3359683794466403,6.0,5.500473211148515,0.6669236787500141
launch_300,6,fcf_ps_slope,4301,529158,5.0,5.510385756676558,0.9402464543129505,6.0,5.5002330884117026,0.9688618522256113
launch_300,6,pegy,4301,529158,4.0,4.36612702366127,0.1867007672634271,6.0,5.500893840303505,0.423905525381833
launch_300,6,pct_from_52w_high,4301,529158,8.0,7.182044887780549,0.9323413159730295,6.0,5.500340209662734,0.9693116233714694
launch_300,6,dist_above_30w_sma,4301,529158,4.0,5.014104709538609,0.9725645198790979,6.0,5.500342925700705,0.9891884843468303
launch_300,6,atr_contraction,4301,529158,5.0,5.358047864852182,0.9909323413159731,6.0,5.5003437584637505,0.9977870503705888
launch_300,6,inst_pct,4301,529158,4.0,4.776244097348347,0.6400837014647757,6.0,5.500248274917384,0.5518484082258985
launch_300,6,inst_pct_delta_qoq,4301,529158,6.0,5.733259341472438,0.6284584980237155,6.0,5.500376419525747,0.5346777333046084
launch_300,6,insider_buy_count_90d,4301,529158,1.0,3.1841346153846155,0.9672169262962101,1.0,2.6610644005949786,0.841068263165255
launch_300,6,net_debt_to_ebitda,4301,529158,6.0,5.497744977449774,0.5670774238549174,6.0,5.500405031872285,0.8375097796877303
launch_300,6,share_count_change_8q,4301,529158,8.0,6.852876106194691,0.840734712857475,6.0,5.499886630195944,0.9168112359635496
launch_300,6,shareholder_yield,4301,529158,3.0,3.968966472707121,0.8391071843757266,6.0,5.500376255301076,0.9166317054641525
launch_300,6,marketcap,4301,529158,3.0,3.9953292853806635,0.9955824226923972,6.0,5.500328154109492,0.9991628209343901
launch_300,6,pb,4301,529158,6.0,5.82536066818527,0.9186235759125785,5.0,5.412398111048636,0.9612289713091364
launch_300,6,dividend_yield,4301,529158,1.0,2.4806927217411654,0.9934898860730063,1.0,4.462696622409277,0.9986128906678157
launch_300,6,realized_vol_12m,4301,529158,9.0,8.201447828257614,0.9314112996977447,6.0,5.5003334568358655,0.9691056357458453
launch_300,12,ret_6m_skip1,4301,529158,5.0,5.121723790322581,0.9225761450825389,6.0,5.500405313324823,0.9651484055801859
launch_300,12,ret_12m_skip1,4301,529158,4.0,5.048598130841121,0.8707277377354103,6.0,5.500373586997566,0.9408834412406124
launch_300,12,eps_growth_q0,4301,529158,4.0,4.730607966457023,0.44361776331085795,5.0,5.494207865964717,0.7200760453399552
launch_300,12,rev_growth_accel,4301,529158,5.0,5.252873563218391,0.7282027435480121,6.0,5.500424865928787,0.8718038846620481
launch_300,12,op_margin_delta,4301,529158,5.0,5.2387843704775685,0.8033015577772611,6.0,5.500359184248063,0.9128445568242377
launch_300,12,peg,4301,529158,4.0,4.649318463444858,0.18763078353871193,6.0,5.5009672171647255,0.4054233329175785
launch_300,12,pe,4301,529158,6.0,5.543521266073195,0.47012322715647525,5.0,5.487790641354592,0.7608332482925705
launch_300,12,pe_vs_5y_median,4301,529158,5.0,5.322274881516588,0.34340850964891884,6.0,5.500542872488493,0.6544472539392772
launch_300,12,fcf_ps_slope,4301,529158,5.0,5.482794851589178,0.885142990002325,6.0,5.50029050082342,0.9432683621904989
launch_300,12,pegy,4301,529158,4.0,4.727602905569007,0.1920483608463148,6.0,5.500763186924514,0.41971396066959205
launch_300,12,pct_from_52w_high,4301,529158,8.0,7.024357956049775,0.8781678679376889,6.0,5.500363937402767,0.9450598875950095
launch_300,12,dist_above_30w_sma,4301,529158,5.0,5.070961248112733,0.9239711694954662,6.0,5.500412681648379,0.9662331477554909
launch_300,12,atr_contraction,4301,529158,5.0,5.390214216163583,0.9551267147175075,6.0,5.500376503848813,0.9812778036049724
launch_300,12,inst_pct,4301,529158,4.0,4.806451612903226,0.6054405952104162,6.0,5.500466407632926,0.5145797663457795
launch_300,12,inst_pct_delta_qoq,4301,529158,6.0,5.792490118577075,0.5882352941176471,6.0,5.500454576708865,0.49471424413880166
launch_300,12,insider_buy_count_90d,4301,529158,1.0,2.915086562242374,0.8460823064403628,1.0,2.706241951754692,0.8130237093646888
launch_300,12,net_debt_to_ebitda,4301,529158,5.0,5.545378502718528,0.5559172285514996,6.0,5.500452367544013,0.8188027016505467
launch_300,12,share_count_change_8q,4301,529158,8.0,6.719220549158547,0.7874912810974192,6.0,5.499956598049241,0.8926048552606216
launch_300,12,shareholder_yield,4301,529158,3.0,4.096364173810228,0.7865612648221344,6.0,5.500373767256294,0.892396977840267
launch_300,12,marketcap,4301,529158,4.0,4.115292996665079,0.9760520809114159,6.0,5.50037651248401,0.9912937156766032
launch_300,12,pb,4301,529158,6.0,5.915841584158416,0.8923506161357824,5.0,5.412641695416461,0.9509295900279312
launch_300,12,dividend_yield,4301,529158,1.0,2.4789004099348926,0.9641943734015346,1.0,4.454199022283423,0.9853748785806886
launch_300,12,realized_vol_12m,4301,529158,9.0,7.998675847457627,0.8779353638688677,6.0,5.5003970214391575,0.9448463407904634
win_100,0,ret_6m_skip1,20367,558318,5.0,5.1632572777340675,0.9984779299847792,6.0,5.500405240149616,0.9988823573662321
win_100,0,ret_12m_skip1,20367,558318,5.0,5.102112323555912,0.9809004762606177,6.0,5.500355159966948,0.988440279553946
win_100,0,eps_growth_q0,20367,558318,4.0,5.01348295059151,0.5644424804831345,5.0,5.495450423614251,0.7485895135030574
win_100,0,rev_growth_accel,20367,558318,5.0,5.367777525022748,0.8633573918593803,6.0,5.500358566823994,0.919107032193123
win_100,0,op_margin_delta,20367,558318,5.0,5.4682874699438955,0.9188883978985614,6.0,5.500350475805954,0.9582119867172472
win_100,0,peg,20367,558318,4.0,4.674640135478408,0.23194383070653507,6.0,5.500949915538688,0.40821718088974385
win_100,0,pe,20367,558318,5.0,5.45139082705368,0.5277655030195905,5.0,5.487956155781536,0.7666974734828539
win_100,0,pe_vs_5y_median,20367,558318,5.0,5.115633882888004,0.43182599302793734,6.0,5.500517260082603,0.6769493371161238
win_100,0,fcf_ps_slope,20367,558318,6.0,5.550788954635109,0.9957283841508322,6.0,5.500162145217256,0.9941610336761487
win_100,0,pegy,20367,558318,4.0,4.660688517831375,0.23817940786566505,6.0,5.500689690189474,0.4233035653516455
win_100,0,pct_from_52w_high,20367,558318,8.0,6.970671712393567,0.9860558746992685,6.0,5.500366624525917,0.9917287280725321
win_100,0,dist_above_30w_sma,20367,558318,5.0,5.190757128810226,0.9986743261157756,6.0,5.500399827876788,0.9989647476885932
win_100,0,atr_contraction,20367,558318,5.0,5.396237536224765,0.9996072077380076,6.0,5.500406700707695,0.9996990962139856
win_100,0,inst_pct,20367,558318,5.0,5.28301742586365,0.6424117444886336,6.0,5.50034926207193,0.6000021493127572
win_100,0,inst_pct_delta_qoq,20367,558318,6.0,5.604298747487243,0.6350468895762753,6.0,5.500394878471957,0.5873874745216884
win_100,0,insider_buy_count_90d,20367,558318,1.0,3.0920035286181307,0.9461874601070359,1.0,2.6107595001421213,0.8758789793630154
win_100,0,net_debt_to_ebitda,20367,558318,6.0,5.544808069080618,0.6766337703147248,6.0,5.500400632621983,0.8538968831382832
win_100,0,share_count_change_8q,20367,558318,7.0,6.322682678389535,0.91584425786812,6.0,5.499905196376226,0.9446337033733464
win_100,0,shareholder_yield,20367,558318,4.0,4.507104938602606,0.9156478617371238,6.0,5.5003195300159105,0.9445101178898048
win_100,0,marketcap,20367,558318,4.0,4.214071782785879,1.0,6.0,5.500220055004769,0.997064396992395
win_100,0,pb,20367,558318,6.0,5.513917848206839,0.9419158442578681,5.0,5.412593642664635,0.9589749927460695
win_100,0,dividend_yield,20367,558318,1.0,2.9759858567008792,0.9998036038690038,5.0,4.485898083558154,0.9998280549794203
win_100,0,realized_vol_12m,20367,558318,8.0,7.810308764940239,0.9859085776010212,6.0,5.50039919510706,0.9915746939915961
win_100,6,ret_6m_skip1,20367,558318,5.0,5.279557513264591,0.9809004762606177,6.0,5.500347911804358,0.988440279553946
win_100,6,ret_12m_skip1,20367,558318,5.0,5.09610900989586,0.9476604310895075,6.0,5.500397681028297,0.9660748892208383
win_100,6,eps_growth_q0,20367,558318,5.0,5.101047120418849,0.5626749153041685,5.0,5.495758985283484,0.7331592389999965
win_100,6,rev_growth_accel,20367,558318,5.0,5.358436606291707,0.8240781656601365,6.0,5.500413743479043,0.8961022213147346
win_100,6,op_margin_delta,20367,558318,5.0,5.5095217006200174,0.8869249275789267,6.0,5.500459201830685,0.9361080961029378
win_100,6,peg,20367,558318,4.0,4.745759368836292,0.24893209603770805,6.0,5.5009457142352085,0.40529590663385384
win_100,6,pe,20367,558318,5.0,5.41231806886759,0.55324790101635,5.0,5.48785875067048,0.7646771194910428
win_100,6,pe_vs_5y_median,20367,558318,5.0,5.141661158845561,0.4457210192959199,6.0,5.500462494891045,0.6661006809739253
win_100,6,fcf_ps_slope,20367,558318,6.0,5.499615443777881,0.9575784357048166,6.0,5.500219755867851,0.9698952926468428
win_100,6,pegy,20367,558318,4.0,4.753651037663336,0.2555113664260814,6.0,5.500887001168453,0.4200079524572018
win_100,6,pct_from_52w_high,20367,558318,7.0,6.760321218984866,0.9537978101831394,6.0,5.500347105545934,0.9700958951708525
win_100,6,dist_above_30w_sma,20367,558318,5.0,5.290512846146156,0.9822752491775912,6.0,5.500338537517923,0.9893573196637042
win_100,6,atr_contraction,20367,558318,5.0,5.433949248583395,0.996464869642068,6.0,5.500338380619856,0.9977557592626425
win_100,6,inst_pct,20367,558318,5.0,5.280807448556451,0.6275347375656699,6.0,5.500254634185968,0.5732700718945117
win_100,6,inst_pct_delta_qoq,20367,558318,6.0,5.654638352227367,0.615014484214661,6.0,5.50038600599596,0.5568081272679727
win_100,6,insider_buy_count_90d,20367,558318,1.0,2.9709472146880866,0.9413266558648795,1.0,2.64311457812701,0.8493063093075989
win_100,6,net_debt_to_ebitda,20367,558318,6.0,5.5258885476086,0.6713801738105759,6.0,5.500427496030394,0.8358516114472397
win_100,6,share_count_change_8q,20367,558318,7.0,6.296098793151838,0.874699268424412,6.0,5.499902623706843,0.919676600073793
win_100,6,shareholder_yield,20367,558318,4.0,4.5099657515018805,0.8745028722934158,6.0,5.5003652329407,0.9194956995833915
win_100,6,marketcap,20367,558318,4.0,4.299547778214707,0.9988707222467718,6.0,5.50031371002438,0.9991438570850304
win_100,6,pb,20367,558318,6.0,5.5517079039598265,0.9386262090636814,5.0,5.412829781836631,0.9602269674271652
win_100,6,dividend_yield,20367,558318,1.0,2.944619319299626,0.998281533853783,5.0,4.466741161108879,0.9985993645198614
win_100,6,realized_vol_12m,20367,558318,8.0,7.58697219361483,0.9535032159866451,6.0,5.500356410777271,0.9698952926468428
win_100,12,ret_6m_skip1,20367,558318,5.0,5.1315993989948705,0.9476604310895075,6.0,5.500393973046681,0.9660748892208383
win_100,12,ret_12m_skip1,20367,558318,4.0,5.03021115322144,0.906859134875043,6.0,5.500377159164968,0.9426581267306445
win_100,12,eps_growth_q0,20367,558318,5.0,5.188995215311005,0.533608287916728,5.0,5.4944830475924435,0.718131960638919
win_100,12,rev_growth_accel,20367,558318,5.0,5.373586078309509,0.7900034369322925,6.0,5.500419023889484,0.8741237072779312
win_100,12,op_margin_delta,20367,558318,6.0,5.506825543729755,0.8488240781656602,6.0,5.500343960504319,0.9138752467231936
win_100,12,peg,20367,558318,4.0,4.654339622641509,0.2602248735699907,6.0,5.5009618775134905,0.4012784828717684
win_100,12,pe,20367,558318,5.0,5.415095970949334,0.5678794127755683,5.0,5.4877914517718045,0.7581145512055854
win_100,12,pe_vs_5y_median,20367,558318,5.0,5.136685167047557,0.45117101193106496,6.0,5.500545103925844,0.6538710913851963
win_100,12,fcf_ps_slope,20367,558318,5.0,5.49793797868352,0.916728040457603,6.0,5.5002747700458965,0.9451853603143728
win_100,12,pegy,20367,558318,4.0,4.6735147140477515,0.2652820739431433,6.0,5.500756227566326,0.4156645495936008
win_100,12,pct_from_52w_high,20367,558318,7.0,6.729163308076737,0.9136839004271616,6.0,5.500356636754587,0.9466809237746231
win_100,12,dist_above_30w_sma,20367,558318,5.0,5.224865535788167,0.9493788972357244,6.0,5.500406509334899,0.9671244702839601
win_100,12,atr_contraction,20367,558318,5.0,5.43251580278129,0.9709333726125595,6.0,5.500392274205143,0.9816735265565502
win_100,12,inst_pct,20367,558318,5.0,5.266545634593167,0.5949820788530465,6.0,5.500438191651366,0.5375019254260117
win_100,12,inst_pct_delta_qoq,20367,558318,6.0,5.669461382113822,0.5797613787008395,6.0,5.5004594699168115,0.5184572233028489
win_100,12,insider_buy_count_90d,20367,558318,1.0,2.9300973109921116,0.8527029017528355,1.0,2.692473703695638,0.8224524374997761
win_100,12,net_debt_to_ebitda,20367,558318,5.0,5.469995521719659,0.6578288407718368,6.0,5.500450309300038,0.817371103922854
win_100,12,share_count_change_8q,20367,558318,7.0,6.283832826036057,0.8388078754848529,6.0,5.499990007474409,0.8962168513284544
win_100,12,shareholder_yield,20367,558318,4.0,4.515163934426229,0.8386114793538567,6.0,5.500373807115529,0.8960090844285873
win_100,12,marketcap,20367,558318,4.0,4.346847295547366,0.9858103795355232,6.0,5.500373064895226,0.9914117044408384
win_100,12,pb,20367,558318,6.0,5.542710614883274,0.9190847940295577,5.0,5.412975858779705,0.9501072865284659
win_100,12,dividend_yield,20367,558318,1.0,2.939019489652401,0.9774635439681838,1.0,4.458074996910866,0.9856676660970988
win_100,12,realized_vol_12m,20367,558318,8.0,7.440842874805139,0.9133893062306673,6.0,5.500386993242285,0.946473156874756
