label,drawdown_bucket,sector,rows,winners,b_rows,b_winners,winner_rate,bucket_rate,winner_share,population_share,ratio,sufficient
win_100,0-10,Healthcare,67714,3857,431742.0,14535.0,0.056960155950025106,0.03366593938046333,0.265359477124183,0.15683903812925312,1.6919223701531296,True
win_100,0-10,Industrials,62330,1888,431742.0,14535.0,0.030290389860420344,0.03366593938046333,0.12989336085311318,0.14436862755997795,0.8997339868673959,True
win_100,0-10,Real Estate,2756,60,431742.0,14535.0,0.02177068214804064,0.03366593938046333,0.0041279669762641896,0.0063834419630242134,0.646667894871645,False
win_100,0-10,Technology,66718,2584,431742.0,14535.0,0.038730177763122396,0.03366593938046333,0.17777777777777778,0.1545321048218612,1.1504261718476774,True
win_100,0-10,Unknown,56,0,431742.0,14535.0,0.0,0.03366593938046333,0.0,0.00012970709358830042,0.0,False
win_100,0-10,Utilities,13471,79,431742.0,14535.0,0.005864449558310445,0.03366593938046333,0.00543515651874785,0.031201504602285626,0.17419533410416704,False
win_100,10-20,Basic Materials,4359,149,73674.0,2473.0,0.034182151869694886,0.033566794255775446,0.060250707642539425,0.05916605586774167,1.0183323319239388,True
win_100,10-20,Communication Services,3024,83,73674.0,2473.0,0.027447089947089946,0.033566794255775446,0.03356247472705216,0.04104568775958954,0.8176857682013364,False
win_100,10-20,Consumer Cyclical,9202,420,73674.0,2473.0,0.04564225168441643,0.033566794255775446,0.16983420946219166,0.12490159350652877,1.3597441369177905,True
win_100,10-20,Consumer Defensive,3849,71,73674.0,2473.0,0.018446349701221096,0.033566794255775446,0.028710068742418115,0.05224366805114423,0.549541596396184,False
win_100,10-20,Energy,5198,152,73674.0,2473.0,0.029242016160061564,0.033566794255775446,0.061463809138697936,0.07055406249151668,0.8711590370304795,True
win_100,10-20,Financial Services,11350,209,73674.0,2473.0,0.01841409691629956,0.033566794255775446,0.08451273756570966,0.15405706219290388,0.5485807425036205,True
win_100,10-20,Healthcare,11197,589,73674.0,2473.0,0.05260337590426007,0.033566794255775446,0.2381722604124545,0.15198034584792464,1.5671254008776614,True
win_100,10-20,Industrials,10886,341,73674.0,2473.0,0.03132463714863127,0.033566794255775446,0.1378892033966842,0.14775904661074463,0.9332031206179784,True
win_100,10-20,Real Estate,414,17,73674.0,2473.0,0.04106280193236715,0.033566794255775446,0.006874241811564901,0.005619350109943806,1.2233161623797888,False
win_100,10-20,Technology,11770,425,73674.0,2473.0,0.03610875106202209,0.033566794255775446,0.17185604528912252,0.15975785215951352,1.075728316111369,True
win_100,10-20,Unknown,9,0,73674.0,2473.0,0.0,0.033566794255775446,0.0,0.0001221597849987784,0.0,False
win_100,10-20,Utilities,2416,17,73674.0,2473.0,0.007036423841059603,0.033566794255775446,0.006874241811564901,0.032793115617449846,0.20962454107004658,False
win_100,20-30,Basic Materials,1908,107,30925.0,1197.0,0.05607966457023061,0.03870654810024252,0.08939014202172096,0.06169765561843169,1.4488417935124323,True
win_100,20-30,Communication Services,1329,55,30925.0,1197.0,0.04138449962377728,0.03870654810024252,0.04594820384294068,0.042974939369442196,1.069186007406276,False
win_100,20-30,Consumer Cyclical,3836,224,30925.0,1197.0,0.058394160583941604,0.03870654810024252,0.1871345029239766,0.12404203718674212,1.508637774484874,True
win_100,20-30,Consumer Defensive,1799,35,30925.0,1197.0,0.019455252918287938,0.03870654810024252,0.029239766081871343,0.058172999191592564,0.5026346670827523,False
win_100,20-30,Energy,2615,186,30925.0,1197.0,0.07112810707456979,0.03870654810024252,0.15538847117794485,0.08455941794664511,1.8376246543701509,True
