label,lag,field,winners,population,winner_median,winner_coverage,population_median,population_coverage,winner_mean,population_mean
launch_300,12,years_since_first_price,4301,529158,7.41409993155373,1.0,15.329226557152635,1.0,11.242119488631081,15.282556341705394
launch_300,12,drawdown_from_3y_high,4301,529158,-0.3963887505579617,0.680306905370844,-0.19007389613826509,0.8137928558200008,-0.40837742115671016,-0.25258688719628636
launch_300,12,months_since_3y_low,4301,529158,23.0,0.680306905370844,27.0,0.8137928558200008,19.904306220095695,22.829217997097242
launch_300,12,realized_vol_12m,4301,529158,0.5312536513115249,0.8779353638688677,0.3640845669368475,0.9448463407904634,0.586870032771674,0.42241205047832675
launch_300,12,avg_dollar_volume_20d,4301,529158,11.195310231000002,0.9714019995349918,14.2154925235,0.9885875296225324,110.20466007815256,76.15797015415468
launch_300,12,price,4301,529158,18.87,0.9762845849802372,29.28,0.9915318298126458,34.04429745177417,48.51910273558927
launch_300,12,marketcap_musd,4301,529158,982.9,0.9760520809114159,1741.4,0.9912937156766032,6541.959051929511,9873.643688411568
launch_300,12,rev_growth_yoy,4301,529158,0.10689773272141934,0.8163217856312486,0.0779035459471058,0.9169359624157624,0.842630973625682,3.252326630327706
launch_300,12,gross_margin,4301,529158,0.423,0.9160660311555452,0.437,0.9653317156690441,0.47701751269035547,0.46288445086558155
launch_300,12,op_margin,4301,529158,0.017837116566949997,0.9153685189490816,0.1036258870929972,0.9636554677430937,-7.711185758754337,-4.6403682824692165
launch_300,12,cash_to_mcap,4301,529158,0.09948878896670132,0.9746570564984888,0.07214875225332824,0.9908231567887096,0.1922450406201984,0.1506986714567277
launch_300,12,net_debt_to_mcap,4301,529158,0.03225456781750404,0.9746570564984888,0.10805860418806403,0.9908231567887096,0.47224339893388084,0.4220486185010579
launch_300,12,capex_to_rev,4301,529158,0.03834800530542236,0.9128109741920484,0.031556528781834,0.9606884900162145,0.31017997561653715,1.401766403336955
launch_300,12,rnd_to_rev,4301,529158,0.02785740068369535,0.9153685189490816,0.0,0.9636554677430937,5.285074051054355,3.0011720427086113
launch_300,12,shares_chg_4q,4301,529158,0.017624638258970093,0.8914205998604976,0.005407815034411123,0.9446214552175343,0.11770730214060623,0.0865719837125946
launch_300,12,shares_chg_8q,4301,529158,0.05045260140113106,0.7921413624738433,0.01245691545387484,0.8932832915688698,0.31681045072948305,0.2047999905337805
launch_300,12,rev_growth_streak,4301,529158,2.0,0.8163217856312486,3.0,0.9169359624157624,3.8974651096553687,4.609881616804478
launch_300,12,quarters_since_loss,4301,529158,0.0,0.9746570564984888,6.0,0.9883248481549934,3.031965648854962,6.353311790125818
launch_300,12,ev11_t12,4301,529158,1.0,0.9827946989072309,1.0,0.9657625888675972,1.8937780932103145,1.7632499153688257
launch_300,12,ev12_t12,4301,529158,0.0,0.9827946989072309,0.0,0.9657625888675972,0.19162526614620298,0.1672546821096546
launch_300,12,ev21_t12,4301,529158,0.0,0.9827946989072309,0.0,0.9657625888675972,0.19659332860184528,0.22339303500110558
launch_300,12,ev22_t12,4301,529158,4.0,0.9827946989072309,4.0,0.9657625888675972,3.855689614383724,3.9552482090478063
launch_300,12,ev23_t12,4301,529158,0.0,0.9827946989072309,0.0,0.9657625888675972,0.6583865625739295,0.6362248821523127
launch_300,12,ev32_t12,4301,529158,0.0,0.9827946989072309,0.0,0.9657625888675972,0.28649160160870596,0.17699558352460956
launch_300,12,ev52_t12,4301,529158,2.0,0.9827946989072309,2.0,0.9657625888675972,2.383250532292406,2.3119475736780415
launch_300,12,ev53_t12,4301,529158,0.0,0.9827946989072309,0.0,0.9657625888675972,0.3714218121599243,0.3672484203811436
launch_300,12,ev71_t12,4301,529158,1.0,0.9827946989072309,1.0,0.9657625888675972,2.3782824698367637,2.6540825491496767
launch_300,12,ev81_t12,4301,529158,2.0,0.9827946989072309,2.0,0.9657625888675972,2.7764371894960966,2.98013466629879
launch_300,12,ev_total_t12,4301,529158,14.0,0.9827946989072309,14.0,0.9657625888675972,14.991956470309912,15.235779516711967
launch_300,12,insider_net_buys_12m,4301,529158,1.0,0.8116717042548245,0.0,0.7879952679539949,4.85133199656259,6.146462369356363
launch_300,12,officer_buys_12m,4301,529158,0.0,0.8116717042548245,0.0,0.7879952679539949,1.542537954740762,1.898449303793522
launch_300,12,inst_pct,4301,529158,0.7354576821893902,0.6054405952104162,0.8130852447009049,0.5145797663457795,0.6874135931604428,0.7666555538973235
launch_300,12,inst_pct_delta_4q,4301,529158,0.01871684191020684,0.4905835852127412,0.008015212587508702,0.417398962124734,0.03206105208286602,0.020717014459552128
launch_300,12,spy_drawdown,4301,529158,-0.05274170952336199,1.0,-0.033247511316423006,1.0,-0.0779534278252946,-0.07629192299892132
launch_300,12,months_since_trough,4301,529158,2.0,1.0,3.0,1.0,5.124854684956987,9.714412330532658
win_100,0,years_since_first_price,20367,558318,11.019849418206707,1.0,16.432580424366872,1.0,13.574403333330363,16.490225291642414
win_100,0,drawdown_from_3y_high,20367,558318,-0.4501605780810919,0.8449452545784848,-0.19596807813709727,0.9051239616132741,-0.4430321013959049,-0.255220030315097
win_100,0,months_since_3y_low,20367,558318,14.0,0.8449452545784848,26.0,0.9051239616132741,15.797257249113835,22.542832944491607
