lag,bucket_type,bucket,label,cell,rows,row_share,pool_share_of_all,events,rate,base,coverage,lift,ci_low,ci_high,sufficient,window,members,unconfirmed
0,mst,0-12,win_50,decile 10,11070,0.10031353643728365,0.03718945794769288,940,0.08491418247515808,0.07540279464269532,0.37073219894848236,1.1261410519004442,1.0591696702306335,1.196931685752899,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,0-12,win_50,deciles 8-10,33124,0.300161299092013,0.11127945845161508,2731,0.08244777200821157,0.07540279464269532,0.37073219894848236,1.0934312501134695,1.0547883663416606,1.1333584040944336,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,0-12,win_100,decile 10,11070,0.10031353643728365,0.03718945794769288,165,0.014905149051490514,0.009886365695851532,0.37073219894848236,1.5076469463136428,1.2957535322581462,1.7535825805924272,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,0-12,win_100,deciles 8-10,33124,0.300161299092013,0.11127945845161508,416,0.012558869701726845,0.009886365695851532,0.37073219894848236,1.270322187960004,1.1546089963075892,1.3974699156274695,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,0-12,launch_300,decile 10,11070,0.10031353643728365,0.03718945794769288,48,0.004336043360433604,0.002537289087844573,0.37073219894848236,1.7089276035617498,1.289640148579843,2.263748126939781,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,0-12,launch_300,deciles 8-10,33124,0.300161299092013,0.11127945845161508,108,0.0032604757879483156,0.002537289087844573,0.37073219894848236,1.2850233753687443,1.0647196009632756,1.5507309088765304,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,13-24,win_50,decile 10,472,0.10038281582305401,0.013912223302974033,17,0.036016949152542374,0.03509145044661846,0.1385916821410676,1.0263739085772985,0.6442268708614123,1.6220046373486103,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,13-24,win_50,deciles 8-10,1412,0.3002977456401531,0.04161876971143927,46,0.032577903682719546,0.03509145044661846,0.1385916821410676,0.9283715340372564,0.6985277306200162,1.230495559608867,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,13-24,win_100,decile 10,472,0.10038281582305401,0.013912223302974033,2,0.00423728813559322,0.0031901318587834963,0.1385916821410676,1.3282485875706216,0.3644950813316475,4.80116657224186,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,13-24,win_100,deciles 8-10,1412,0.3002977456401531,0.04161876971143927,6,0.00424929178470255,0.0031901318587834963,0.1385916821410676,1.3320113314447595,0.6109150772005346,2.8963768441566358,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,13-24,launch_300,decile 10,472,0.10038281582305401,0.013912223302974033,0,0.0,0.0,0.1385916821410676,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,13-24,launch_300,deciles 8-10,1412,0.3002977456401531,0.04161876971143927,0,0.0,0.0,0.1385916821410676,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,>24,win_50,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,>24,win_50,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,>24,win_100,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,>24,win_100,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,>24,launch_300,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
0,mst,>24,launch_300,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,all,ALL,win_50,decile 10,10992,0.10034690524009494,0.027938967386745766,970,0.08824599708879186,0.07584444038707322,0.2784238070909872,1.1635130622419667,1.0954808604703261,1.23533851687196,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,all,ALL,win_50,deciles 8-10,32881,0.30017345262004747,0.08357543546611969,2717,0.08263130683373376,0.07584444038707322,0.2784238070909872,1.0894840335299947,1.0508868623274228,1.1293668659706297,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,all,ALL,win_100,decile 10,10992,0.10034690524009494,0.027938967386745766,140,0.012736535662299854,0.009932444769034142,0.2784238070909872,1.2823162835002997,1.0877418543762851,1.5111679178702222,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,all,ALL,win_100,deciles 8-10,32881,0.30017345262004747,0.08357543546611969,394,0.011982603935403425,0.009932444769034142,0.2784238070909872,1.2064103263640544,1.0936107953784133,1.3306890032727774,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,all,ALL,launch_300,decile 10,10992,0.10034690524009494,0.027938967386745766,43,0.00391193595342067,0.002437465765930254,0.2784238070909872,1.6049193420887646,1.192096032099091,2.15994866768071,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,all,ALL,launch_300,deciles 8-10,32881,0.30017345262004747,0.08357543546611969,108,0.0032845716371156593,0.002437465765930254,0.2784238070909872,1.3475354948676004,1.1165167696355012,1.6261643709028004,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
