system,date,equity,cash,positions
S-C_weinstein,2021-11-11,226182.74738958658,6976.256389586619,10
S-C_weinstein,2021-11-12,225336.58038958663,6976.256389586619,10
S-C_weinstein,2021-11-15,225425.28467858664,6581.35367858662,10
S-C_weinstein,2021-11-16,230657.03067858663,6581.35367858662,10
S-C_weinstein,2021-11-17,226655.45167858666,6581.35367858662,10
S-C_weinstein,2021-11-18,229951.5156785866,6581.35367858662,10
S-C_weinstein,2021-11-19,228014.39567858665,6581.35367858662,10
S-C_weinstein,2021-11-22,225885.58167858663,6581.35367858662,10
S-C_weinstein,2021-11-23,223243.15389432662,27235.72289432662,9
S-C_weinstein,2021-11-24,225021.37589432663,27235.72289432662,9
S-C_weinstein,2021-11-26,218429.6778943266,27235.72289432662,9
S-C_weinstein,2021-11-29,222182.88169482446,24833.758694824446,9
S-C_weinstein,2021-11-30,220452.46069482443,24833.758694824446,9
S-C_weinstein,2021-12-01,218286.61369482445,24833.758694824446,9
S-C_weinstein,2021-12-02,220319.41569482445,24833.758694824446,9
S-C_weinstein,2021-12-03,212334.1607082812,45045.28170828122,8
S-C_weinstein,2021-12-06,228163.95049872683,23814.526498726842,9
S-C_weinstein,2021-12-07,231298.64749872684,23814.526498726842,9
S-C_weinstein,2021-12-08,233056.76649872682,23814.526498726842,9
S-C_weinstein,2021-12-09,223009.79549872683,23814.526498726842,9
S-C_weinstein,2021-12-10,222874.78549872682,23814.526498726842,9
S-C_weinstein,2021-12-13,214729.91249872686,23814.526498726842,9
S-C_weinstein,2021-12-14,213114.36349872683,23814.526498726842,9
S-C_weinstein,2021-12-15,219024.65153240185,42564.43653240183,8
S-C_weinstein,2021-12-16,207219.91953240184,42564.43653240183,8
S-C_weinstein,2021-12-17,210181.63653240184,42564.43653240183,8
S-C_weinstein,2021-12-20,209092.34176268376,21725.223762683785,8
S-C_weinstein,2021-12-21,216425.13776268376,21725.223762683785,8
S-C_weinstein,2021-12-22,221386.30176268378,21725.223762683785,8
S-C_weinstein,2021-12-23,224729.3307626838,21725.223762683785,8
S-C_weinstein,2021-12-27,227482.5325013773,4.527501377328008,9
S-C_weinstein,2021-12-28,224520.59250137734,4.527501377328008,9
S-C_weinstein,2021-12-29,225053.93150137732,4.527501377328008,9
S-C_weinstein,2021-12-30,222371.07650137736,4.527501377328008,9
S-C_weinstein,2021-12-31,222084.01150137733,4.527501377328008,9
S-C_weinstein,2022-01-03,229913.06450137735,4.527501377328008,9
S-C_weinstein,2022-01-04,227902.85250137735,4.527501377328008,9
S-C_weinstein,2022-01-05,216473.07050137734,4.527501377328008,9
S-C_weinstein,2022-01-06,213928.8865013773,4.527501377328008,9
S-C_weinstein,2022-01-07,208748.3475013773,4.527501377328008,9
S-C_weinstein,2022-01-10,207582.72050137733,4.527501377328008,9
S-C_weinstein,2022-01-11,211143.7175013773,4.527501377328008,9
S-C_weinstein,2022-01-12,208838.24950137732,4.527501377328008,9
S-C_weinstein,2022-01-13,203448.20450137736,4.527501377328008,9
S-C_weinstein,2022-01-14,203914.65125151523,19026.35625151525,8
S-C_weinstein,2022-01-18,200899.05925151522,19026.35625151525,8
S-C_weinstein,2022-01-19,197737.24925151526,19026.35625151525,8
S-C_weinstein,2022-01-20,192763.72625151524,19026.35625151525,8
S-C_weinstein,2022-01-21,189154.80725151525,19026.35625151525,8
S-C_weinstein,2022-01-24,192717.07572404027,38560.80472404025,7
S-C_weinstein,2022-01-25,191559.39072404022,38560.80472404025,7
S-C_weinstein,2022-01-26,189197.85072404024,38560.80472404025,7
S-C_weinstein,2022-01-27,185226.41072404024,38560.80472404025,7
S-C_weinstein,2022-01-28,188090.01292430103,57581.52492430103,6
S-C_weinstein,2022-01-31,190039.69875437603,94226.93775437603,5
S-C_weinstein,2022-02-01,191057.37075437602,94226.93775437603,5
S-C_weinstein,2022-02-02,192634.32675437603,94226.93775437603,5
S-C_weinstein,2022-02-03,190775.23075437604,94226.93775437603,5
S-C_weinstein,2022-02-04,192479.81175437605,94226.93775437603,5
S-C_weinstein,2022-02-07,193262.24175437604,94226.93775437603,5
S-C_weinstein,2022-02-08,194683.99475437604,94226.93775437603,5
S-C_weinstein,2022-02-09,197441.12275437603,94226.93775437603,5
S-C_weinstein,2022-02-10,196244.96475437604,94226.93775437603,5
S-C_weinstein,2022-02-11,195736.57375437603,94226.93775437603,5
S-C_weinstein,2022-02-14,195086.29475437602,94226.93775437603,5
S-C_weinstein,2022-02-15,194043.78675437602,94226.93775437603,5
S-C_weinstein,2022-02-16,193632.11675437604,94226.93775437603,5
S-C_weinstein,2022-02-17,191762.037754376,94226.93775437603,5
S-C_weinstein,2022-02-18,191144.94802210233,94289.19602210233,4
S-C_weinstein,2022-02-22,189537.24202210232,94289.19602210233,4
S-C_weinstein,2022-02-23,187533.66102210234,94289.19602210233,4
S-C_weinstein,2022-02-24,188596.54002210236,94289.19602210233,4
S-C_weinstein,2022-02-25,191148.85502210233,94289.19602210233,4
S-C_weinstein,2022-02-28,190201.80702210235,94289.19602210233,4
S-C_weinstein,2022-03-01,188941.68902210234,94289.19602210233,4
S-C_weinstein,2022-03-02,192477.35802210233,94289.19602210233,4
S-C_weinstein,2022-03-03,190093.6760221023,94289.19602210233,4
S-C_weinstein,2022-03-04,188480.51802210236,94289.19602210233,4
S-C_weinstein,2022-03-07,187829.43402210233,94289.19602210233,4
S-C_weinstein,2022-03-08,188076.60302210232,94289.19602210233,4
S-C_weinstein,2022-03-09,190186.02002210234,94289.19602210233,4
S-C_weinstein,2022-03-10,189674.4640221023,94289.19602210233,4
S-C_weinstein,2022-03-11,188685.02502210235,94289.19602210233,4
S-C_weinstein,2022-03-14,185168.24397753796,114955.62997753796,3
S-C_weinstein,2022-03-15,184815.70397753798,114955.62997753796,3
S-C_weinstein,2022-03-16,185812.60397753795,114955.62997753796,3
S-C_weinstein,2022-03-17,187931.22997753794,114955.62997753796,3
S-C_weinstein,2022-03-18,187909.94397753797,114955.62997753796,3
S-C_weinstein,2022-03-21,187452.46397753796,114955.62997753796,3
S-C_weinstein,2022-03-22,187911.36397753796,114955.62997753796,3
S-C_weinstein,2022-03-23,189449.18397753796,114955.62997753796,3
S-C_weinstein,2022-03-24,189923.54397753795,114955.62997753796,3
S-C_weinstein,2022-03-25,189285.60997753794,114955.62997753796,3
S-C_weinstein,2022-03-28,188563.76997753797,114955.62997753796,3
S-C_weinstein,2022-03-29,189444.44997753797,114955.62997753796,3
S-C_weinstein,2022-03-30,188488.24997753795,114955.62997753796,3
S-C_weinstein,2022-03-31,188198.16997753797,114955.62997753796,3
S-C_weinstein,2022-04-01,189607.38997753797,114955.62997753796,3
S-C_weinstein,2022-04-04,190712.93422998796,96018.51422998797,4
S-C_weinstein,2022-04-05,190783.62111043796,120536.64111043797,3
S-C_weinstein,2022-04-06,192409.56111043796,120536.64111043797,3
S-C_weinstein,2022-04-07,192935.80111043795,120536.64111043797,3
S-C_weinstein,2022-04-08,191806.60111043794,120536.64111043797,3
S-C_weinstein,2022-04-11,191274.18111043796,120536.64111043797,3
S-C_weinstein,2022-04-12,191126.961110438,120536.64111043797,3
S-C_weinstein,2022-04-13,191273.56111043796,120536.64111043797,3
S-C_weinstein,2022-04-14,190276.901110438,120536.64111043797,3
S-C_weinstein,2022-04-18,189317.70111043798,120536.64111043797,3
S-C_weinstein,2022-04-19,189125.06111043796,120536.64111043797,3
S-C_weinstein,2022-04-20,189027.62111043796,120536.64111043797,3
S-C_weinstein,2022-04-21,188127.901110438,120536.64111043797,3
S-C_weinstein,2022-04-22,187669.98111043795,120536.64111043797,3
S-C_weinstein,2022-04-25,188132.35111043797,120536.64111043797,3
S-C_weinstein,2022-04-26,186195.60111043794,120536.64111043797,3
S-C_weinstein,2022-04-27,186765.77111043799,120536.64111043797,3
S-C_weinstein,2022-04-28,187537.901110438,120536.64111043797,3
S-C_weinstein,2022-04-29,190519.74111043796,120536.64111043797,3
S-C_weinstein,2022-05-02,190777.26111043798,120536.64111043797,3
S-C_weinstein,2022-05-03,190874.96111043796,120536.64111043797,3
S-C_weinstein,2022-05-04,191749.06111043796,120536.64111043797,3
S-C_weinstein,2022-05-05,191098.42111043795,120536.64111043797,3
S-C_weinstein,2022-05-06,189304.00111043797,120536.64111043797,3
S-C_weinstein,2022-05-09,186908.74111043796,120536.64111043797,3
S-C_weinstein,2022-05-10,189126.30111043795,120536.64111043797,3
S-C_weinstein,2022-05-11,188286.00111043797,120536.64111043797,3
S-C_weinstein,2022-05-12,189256.64111043798,120536.64111043797,3
S-C_weinstein,2022-05-13,191959.70111043798,120536.64111043797,3
S-C_weinstein,2022-05-16,192935.14111043798,120536.64111043797,3
S-C_weinstein,2022-05-17,191676.78111043797,120536.64111043797,3
S-C_weinstein,2022-05-18,189215.961110438,120536.64111043797,3
S-C_weinstein,2022-05-19,189499.80111043795,120536.64111043797,3
S-C_weinstein,2022-05-20,190049.901110438,120536.64111043797,3
S-C_weinstein,2022-05-23,190448.48111043795,120536.64111043797,3
S-C_weinstein,2022-05-24,189274.90111043796,120536.64111043797,3
S-C_weinstein,2022-05-25,189670.06111043796,120536.64111043797,3
S-C_weinstein,2022-05-26,189879.70111043798,120536.64111043797,3
S-C_weinstein,2022-05-27,192059.74111043796,120536.64111043797,3
S-C_weinstein,2022-05-31,190546.44111043797,120536.64111043797,3
S-C_weinstein,2022-06-01,191027.34111043796,120536.64111043797,3
S-C_weinstein,2022-06-02,191786.62111043796,120536.64111043797,3
S-C_weinstein,2022-06-03,192812.02111043799,120536.64111043797,3
S-C_weinstein,2022-06-06,190222.00111043797,120536.64111043797,3
S-C_weinstein,2022-06-07,191701.32111043797,120536.64111043797,3
S-C_weinstein,2022-06-08,191827.35715863795,142670.23715863796,2
S-C_weinstein,2022-06-09,189671.39715863796,142670.23715863796,2
S-C_weinstein,2022-06-10,190362.89715863796,142670.23715863796,2
S-C_weinstein,2022-06-13,190201.61715863796,142670.23715863796,2
S-C_weinstein,2022-06-14,189928.09715863795,142670.23715863796,2
S-C_weinstein,2022-06-15,191373.27715863794,142670.23715863796,2
S-C_weinstein,2022-06-16,190401.59715863795,142670.23715863796,2
S-C_weinstein,2022-06-17,191077.07715863796,142670.23715863796,2
S-C_weinstein,2022-06-21,193025.91715863795,142670.23715863796,2
S-C_weinstein,2022-06-22,193024.11715863796,142670.23715863796,2
S-C_weinstein,2022-06-23,196212.87715863797,142670.23715863796,2
S-C_weinstein,2022-06-24,195951.43715863797,142670.23715863796,2
S-C_weinstein,2022-06-27,197419.97715863795,142670.23715863796,2
S-C_weinstein,2022-06-28,196223.75715863795,142670.23715863796,2
S-C_weinstein,2022-06-29,197230.73715863796,142670.23715863796,2
S-C_weinstein,2022-06-30,190394.39715863796,142670.23715863796,2
S-C_weinstein,2022-07-01,191549.57715863796,142670.23715863796,2
S-C_weinstein,2022-07-05,193770.99715863797,142670.23715863796,2
S-C_weinstein,2022-07-06,193811.49715863797,142670.23715863796,2
S-C_weinstein,2022-07-07,194771.03715863795,142670.23715863796,2
S-C_weinstein,2022-07-08,195650.83715863797,142670.23715863796,2
S-C_weinstein,2022-07-11,194763.69715863798,142670.23715863796,2
S-C_weinstein,2022-07-12,194220.53715863795,142670.23715863796,2
S-C_weinstein,2022-07-13,194271.91715863795,142670.23715863796,2
S-C_weinstein,2022-07-14,193263.73715863796,142670.23715863796,2
S-C_weinstein,2022-07-15,191303.95715863796,142670.23715863796,2
S-C_weinstein,2022-07-18,189865.31715863798,142670.23715863796,2
S-C_weinstein,2022-07-19,190865.15715863794,142670.23715863796,2
S-C_weinstein,2022-07-20,190006.77715863794,142670.23715863796,2
S-C_weinstein,2022-07-21,190498.55715863797,142670.23715863796,2
S-C_weinstein,2022-07-22,189969.99115863797,142670.23715863796,2
S-C_weinstein,2022-07-25,190247.19715863795,142670.23715863796,2
S-C_weinstein,2022-07-26,190540.79715863796,142670.23715863796,2
S-C_weinstein,2022-07-27,192625.35715863795,142670.23715863796,2
S-C_weinstein,2022-07-28,192764.21715863794,142670.23715863796,2
S-C_weinstein,2022-07-29,192747.13715863795,142670.23715863796,2
S-C_weinstein,2022-08-01,191812.38715863795,142670.23715863796,2
S-C_weinstein,2022-08-02,192734.05715863797,142670.23715863796,2
S-C_weinstein,2022-08-03,193107.19715863798,142670.23715863796,2
S-C_weinstein,2022-08-04,195955.11715863796,142670.23715863796,2
S-C_weinstein,2022-08-05,199627.11715863796,142670.23715863796,2
S-C_weinstein,2022-08-08,200960.99715863797,142670.23715863796,2
S-C_weinstein,2022-08-09,200133.37715863797,142670.23715863796,2
S-C_weinstein,2022-08-10,200395.21715863797,142670.23715863796,2
S-C_weinstein,2022-08-11,198023.59715863795,142670.23715863796,2
S-C_weinstein,2022-08-12,198632.81715863798,142670.23715863796,2
S-C_weinstein,2022-08-15,199021.83715863797,142670.23715863796,2
S-C_weinstein,2022-08-16,198900.05715863797,142670.23715863796,2
S-C_weinstein,2022-08-17,198788.15715863794,142670.23715863796,2
S-C_weinstein,2022-08-18,198956.97715863795,142670.23715863796,2
S-C_weinstein,2022-08-19,198890.31715863798,142670.23715863796,2
S-C_weinstein,2022-08-22,197386.21715863794,142670.23715863796,2
S-C_weinstein,2022-08-23,199830.63715863795,142670.23715863796,2
S-C_weinstein,2022-08-24,200848.29715863796,142670.23715863796,2
S-C_weinstein,2022-08-25,200021.27715863797,142670.23715863796,2
