label,measure,k,winner_median,winner_mean,winner_n,winners,population_median,population_mean,population_months,winner_coverage
launch_300,rev_growth_yoy,-6,0.10436527847466137,0.6619326439850322,3734,4301,0.08349420155699627,0.45457870585341387,4301,0.8681701929783772
launch_300,rev_growth_yoy,-3,0.10066969107798651,0.6914790169669429,3834,4301,0.0666241925140757,0.5010462604329463,4301,0.8914205998604976
launch_300,rev_growth_yoy,0,0.0662524015536391,0.6107888753684733,3940,4301,0.04707302353651177,0.5777748240835435,4301,0.9160660311555452
launch_300,rev_growth_yoy,3,0.05881750788383111,15.076534945115528,4021,4301,0.043481244057596014,0.39527222054819977,4301,0.9348988607300628
launch_300,rev_growth_yoy,6,0.0716822788065109,7.478389025171215,4028,4301,0.041766239409080974,0.3584376517076989,4301,0.9365263892118112
launch_300,rev_growth_yoy,9,0.11688859714928723,-2.653719141472835,4026,4301,0.040770292358060733,0.44132991579550224,4301,0.9360613810741688
launch_300,rev_growth_yoy,12,0.178379588182632,-0.48087893086924416,4031,4301,0.04345665926931863,0.450669717723488,4301,0.9372239014182748
launch_300,rev_growth_yoy,15,0.2362296472420362,3.825828339761953,4035,4301,0.050526546578241294,0.5373139040495188,4301,0.9381539176935596
launch_300,rev_growth_yoy,18,0.2860847231621624,3.531502426405438,4036,4301,0.06154400808025262,0.6146248996236071,4301,0.9383864217623809
launch_300,rev_growth_yoy,21,0.3032927218630994,3.049804352235663,4031,4301,0.06833943081830529,0.6427056877741147,4301,0.9372239014182748
launch_300,rev_growth_yoy,24,0.3199855410073098,3.0985222716192453,4019,4301,0.0743834157057961,0.5757857412338674,4301,0.9344338525924204
launch_300,shares_change,-24,-0.04563066518620784,-0.09875125637018853,3843,4301,-0.00715692730250439,-0.035898613308863396,4301,0.8935131364798884
launch_300,shares_change,-21,-0.03771218480586358,-0.08690434306184411,3941,4301,-0.005546832259884837,-0.03256578188427024,4301,0.9162985352243664
launch_300,shares_change,-18,-0.030320939850007056,-0.07640696132251944,4046,4301,-0.00465247916078354,-0.027143850926851544,4301,0.9407114624505929
launch_300,shares_change,-15,-0.02363240955266044,-0.06392023761667265,4148,4301,-0.003950245840789457,-0.022351488903644034,4301,0.9644268774703557
launch_300,shares_change,-12,-0.017277795316675726,-0.052275906997769434,4228,4301,-0.003393723589789066,-0.018176151455232967,4301,0.9830272029760521
launch_300,shares_change,-9,-0.011465347597264197,-0.038271439710609874,4290,4301,-0.002479987340528733,-0.013918530532568456,4301,0.9974424552429667
launch_300,shares_change,-6,-0.00604142615397818,-0.02561433652787267,4301,4301,-0.0014193496316854959,-0.009904566676282972,4301,1.0
launch_300,shares_change,-3,-0.0020363637579748906,-0.013187634972195062,4301,4301,-0.0005227850943338996,-0.005006644537228457,4301,1.0
launch_300,shares_change,0,0.0,0.0,4301,4301,0.0,0.0,4301,1.0
launch_300,shares_change,3,0.0021653314915228705,0.025344880153086436,4301,4301,0.000551589692635579,0.012546058513124982,4301,1.0
launch_300,shares_change,6,0.007507936798505366,0.056771471949169636,4301,4301,0.0017482583699232057,0.02248675832252119,4301,1.0
launch_300,shares_change,9,0.014890918222276506,0.07971701776615171,4301,4301,0.002817399159693812,0.03409969062066724,4301,1.0
launch_300,shares_change,12,0.025234828504830054,0.10412314204703285,4301,4301,0.0038816940950395784,0.045446835883580505,4301,1.0
launch_300,shares_change,15,0.03926214946767703,0.12806379317687328,4301,4301,0.0047169616465139175,0.0571957911101147,4301,1.0
launch_300,shares_change,18,0.052787299013174804,0.14920977978962105,4299,4301,0.005973999474308878,0.07644077224190783,4301,0.9995349918623576
launch_300,shares_change,21,0.0672705572520178,0.17093851019777181,4290,4301,0.007486716284470063,0.09268967331915946,4301,0.9974424552429667
launch_300,shares_change,24,0.0808695489455602,0.19241856833789836,4269,4301,0.008416107109988413,0.11630614855810312,4301,0.9925598697977215
launch_300,insider_net_buys_12m,-24,0.0,3.343270365997639,3388,4301,0.0,4.210835783284335,3388,0.7877237851662404
launch_300,insider_net_buys_12m,-21,0.0,3.577543242450894,3411,4301,0.0,4.373122529644268,3411,0.7930713787491281
launch_300,insider_net_buys_12m,-18,0.0,3.837641591635202,3443,4301,0.0,4.618659755646057,3443,0.8005115089514067
launch_300,insider_net_buys_12m,-15,1.0,4.330354569040069,3469,4301,0.0,4.652156057494866,3469,0.806556614740758
launch_300,insider_net_buys_12m,-12,1.0,4.85133199656259,3491,4301,0.0,4.743808049535604,3491,0.8116717042548245
launch_300,insider_net_buys_12m,-9,1.0,5.23992049971607,3522,4301,0.0,4.855707235607989,3522,0.8188793303882818
launch_300,insider_net_buys_12m,-6,1.0,5.912130422768721,3619,4301,0.0,5.07983870967742,3619,0.8414322250639387
launch_300,insider_net_buys_12m,-3,1.0,7.067325188458539,3847,4301,0.0,5.456573327005221,3847,0.8944431527551732
launch_300,insider_net_buys_12m,0,2.0,7.920731707317073,4100,4301,0.0,5.75440313111546,4100,0.9532666821669379
launch_300,insider_net_buys_12m,3,2.0,7.191682600382409,4184,4301,0.0,5.453617810760668,4184,0.9727970239479191
launch_300,insider_net_buys_12m,6,1.0,6.54554124940391,4194,4301,0.0,4.914847161572053,4194,0.9751220646361312
launch_300,insider_net_buys_12m,9,1.0,5.50939804901261,4203,4301,0.0,4.599913681484678,4203,0.977214601255522
launch_300,insider_net_buys_12m,12,0.0,4.7504155782474475,4211,4301,0.0,4.340720221606648,4211,0.9790746338060916
launch_300,insider_net_buys_12m,15,0.0,4.417754569190601,4213,4301,0.0,4.16297895304911,4213,0.979539641943734
