label,field,all_winners,population,c1,c2
launch_300,inst_pct_delta_4q,0.01626824072915556,0.00851600706902056,-0.00023763329988701898,0.025759894791283322
launch_300,spy_drawdown,-0.04868640498221366,-0.020479859475428075,-0.06633206110346967,-0.03195379094645562
launch_300,months_since_trough,2.0,3.0,2.0,3.0
launch_300,ev52_t12,2.0,2.0,3.0,2.0
launch_300,ev_total_t12,14.0,14.0,15.0,13.0
launch_300,pr_ret_6m_skip1,0.3627827571489543,0.5,0.1147060479037951,0.7571428571428571
launch_300,pr_ret_12m_skip1,0.3370233702337023,0.5,0.08946028821359056,0.7419488026424442
launch_300,pr_eps_growth_q0,0.3102189781021898,0.4986072423398329,0.14590964590964592,0.654420219247711
launch_300,pr_rev_growth_accel,0.43989708642517567,0.5,0.3424715432413906,0.5788666912503706
launch_300,pr_op_margin_delta,0.48895497026338147,0.5,0.2821406518691997,0.7036199095022625
launch_300,pr_peg,0.3660968660968661,0.5,0.2216294049110774,0.44745762711864406
launch_300,pr_pe,0.5049666386367643,0.4983031674208145,0.20748484703861023,0.7020030402139734
launch_300,pr_pe_vs_5y_median,0.4619570089634414,0.5,0.21733821733821734,0.5765765765765766
launch_300,pr_fcf_ps_slope,0.5134213890072433,0.5,0.5124340617935192,0.5153740202230037
launch_300,pr_pegy,0.3635427394438723,0.5,0.21631968503091145,0.4427860696517413
launch_300,pr_pct_from_52w_high,0.7991455319033477,0.5,0.9282458487447863,0.5162194417139945
launch_300,pr_dist_above_30w_sma,0.37694572991165337,0.5,0.12057026476578411,0.7357984424599381
launch_300,pr_atr_contraction,0.475282715120322,0.5,0.4425929954403068,0.5015606857028704
launch_300,pr_inst_pct,0.37832870127952095,0.5,0.3844683641864495,0.376086491166693
launch_300,pr_inst_pct_delta_qoq,0.532219534100862,0.5,0.3793103448275862,0.618204804045512
launch_300,pr_insider_buy_count_90d,0.0,0.0,0.0,0.0
launch_300,pr_net_debt_to_ebitda,0.5232828870779976,0.5,0.675,0.3486881674407094
launch_300,pr_share_count_change_8q,0.7206405693950177,0.5,0.6994005092749356,0.7311874728142671
launch_300,pr_shareholder_yield,0.2574084810506536,0.5,0.27684639782510195,0.24256086564472498
launch_300,pr_marketcap,0.272869429241595,0.5,0.18339276617422312,0.3909984603311969
launch_300,pr_pb,0.5445816186556928,0.4895070766227428,0.2498955286251567,0.7833102812355924
launch_300,pr_dividend_yield,0.0,0.46938775510204084,0.0,0.0
launch_300,pr_realized_vol_12m,0.864421659079792,0.5,0.9099548645371639,0.7918774234620058
win_100,years_since_first_price,11.019849418206707,16.432580424366872,10.65845311430527,11.471594798083505
win_100,drawdown_from_3y_high,-0.4501605780810919,-0.19596807813709727,-0.6494976356655987,-0.2157939650233779
win_100,months_since_3y_low,14.0,26.0,4.0,26.0
win_100,realized_vol_12m,0.5985827613765737,0.37186403479888275,0.7074758487523112,0.5027256986627673
win_100,avg_dollar_volume_20d,12.148252072500002,16.683253847675,7.82229765,19.77903886675
win_100,price,16.85,30.53,11.42,28.805
win_100,marketcap_musd,979.5,1913.6,620.3,1750.1
win_100,rev_growth_yoy,0.06681996483159747,0.07192134120252047,-0.013822809961297033,0.15934065934065944
win_100,gross_margin,0.44,0.443,0.398,0.479
win_100,op_margin,0.0361831046181118,0.10299925971567762,0.0018242626938279112,0.07363309174809232
win_100,cash_to_mcap,0.10470978118894178,0.07252942403122052,0.16236634123663413,0.07011498474222051
win_100,net_debt_to_mcap,0.08064702424179548,0.1148615613214736,0.35183865898376115,0.010300372445696267
win_100,capex_to_rev,0.03374750728639362,0.0313588850174216,0.035750982079835125,0.03192099694744062
win_100,rnd_to_rev,0.0,0.0,0.0,0.0335633626097867
win_100,shares_chg_4q,0.011559207995792908,0.005058215537073529,0.009468578680420947,0.014626627947441628
win_100,shares_chg_8q,0.027093911838774742,0.011042211646073885,0.025331304515396447,0.02915127627106795
win_100,rev_growth_streak,2.0,3.0,0.0,4.0
win_100,quarters_since_loss,1.0,7.0,0.0,3.0
win_100,ev11_t12,1.0,1.0,1.0,1.0
win_100,ev12_t12,0.0,0.0,0.0,0.0
win_100,ev21_t12,0.0,0.0,0.0,0.0
win_100,ev22_t12,4.0,4.0,4.0,4.0
win_100,ev23_t12,0.0,0.0,0.0,0.0
win_100,ev32_t12,0.0,0.0,0.0,0.0
win_100,ev53_t12,0.0,0.0,0.0,0.0
win_100,ev71_t12,1.0,1.0,2.0,1.0
win_100,ev81_t12,2.0,2.0,2.0,2.0
win_100,insider_net_buys_12m,1.0,0.0,2.0,0.0
win_100,officer_buys_12m,0.0,0.0,0.0,0.0
win_100,inst_pct,0.8048241707678615,0.8242394685995001,0.802571718436279,0.808031620723706
win_100,inst_pct_delta_4q,0.012881085677501625,0.009267125590458503,0.0047915031861274215,0.020913580315974067
win_100,spy_drawdown,-0.037396487976590675,-0.019617405844414293,-0.06139666211623207,-0.019617405844414293
win_100,months_since_trough,2.0,3.0,2.0,3.0
win_100,ev52_t12,2.0,2.0,2.0,2.0
win_100,ev_total_t12,14.0,14.0,15.0,13.0
win_100,pr_ret_6m_skip1,0.41826446649074167,0.5,0.1712817438350993,0.7315654409954804
win_100,pr_ret_12m_skip1,0.4112480327907359,0.5,0.1475206611570248,0.7547911547911548
win_100,pr_eps_growth_q0,0.3858432820977411,0.4986271279516749,0.1961950059453032,0.6742987979393246
win_100,pr_rev_growth_accel,0.4671891408476758,0.5,0.3673568858506011,0.5794630324065646
win_100,pr_op_margin_delta,0.49411764705882355,0.5,0.31928251121076234,0.6491947676342885
win_100,pr_peg,0.3730055653260518,0.5,0.2658666866130022,0.4166257640802664
win_100,pr_pe,0.49339735894357745,0.49831876260928043,0.24133420536298233,0.6674901107599608
win_100,pr_pe_vs_5y_median,0.42316602316602314,0.5,0.24619404613989726,0.5297138664710198
win_100,pr_fcf_ps_slope,0.5060153071433335,0.5,0.4775693311582382,0.5264473136193253
win_100,pr_pegy,0.3700873362445415,0.5,0.2743764172335601,0.41354256970872455
win_100,pr_pct_from_52w_high,0.7256501784803672,0.5,0.8799990163445023,0.4533734422002578
win_100,pr_dist_above_30w_sma,0.4256291834901922,0.5,0.18209342560553632,0.7241666666666666
win_100,pr_atr_contraction,0.4835082458770615,0.5,0.46346644010195415,0.5031805112450274
win_100,pr_inst_pct,0.46160479606164984,0.5,0.45920705952019547,0.46341926558219027
win_100,pr_inst_pct_delta_qoq,0.5304839625592888,0.5,0.41707717569786534,0.6149169031211998
win_100,pr_insider_buy_count_90d,0.0,0.0,0.0,0.0
win_100,pr_net_debt_to_ebitda,0.516213389121339,0.5,0.686531007751938,0.35726208757541
win_100,pr_share_count_change_8q,0.6379310344827587,0.5,0.6335773101555352,0.6438208617820242
win_100,pr_shareholder_yield,0.33589415279556123,0.5,0.3473163529398119,0.32433690088413214
win_100,pr_marketcap,0.32592909013242205,0.5,0.22326015880429706,0.46164145724206934
win_100,pr_pb,0.5098308184727938,0.4897203947368421,0.2814778804083617,0.7266576454668471
