lag,size,combo,n_nn,n_true,events,base,rate,lift,ci_low,ci_high,catch,nn_share,rate_200,rate_500,events_500,sufficient,qualifying_flags_at_lag
3,2,h9_rs6_top_decile AND h11_insider_cluster,297982,738,14,0.007248759992214295,0.018970189701897018,2.617025494329017,1.5634693005562526,4.357845306826933,0.005378409527468306,0.7573971415426926,0.058265582655826556,0.008130081300813009,6,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,3,h5_peg_lt_05 AND h9_rs12_top_decile AND h11_insider_cluster,129843,111,1,0.0036736674291259442,0.009009009009009009,2.452320244773075,0.4333776805305573,13.412573158656048,0.000384172109104879,0.3300290522559344,0.018018018018018018,0.009009009009009009,1,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
0,3,h5_peg_lt_05 AND h9_rs12_top_decile AND h11_insider_cluster,136708,129,1,0.0033794657225619568,0.007751937984496124,2.2938353636028057,0.40530684087205165,12.606560945004272,0.000384172109104879,0.3474781980992759,0.023255813953488372,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
3,3,h5_peg_lt_05 AND h9_rs12_top_decile AND ctl_pe_lt_15,162796,2449,17,0.0030590432197351285,0.006941608819926501,2.2692091354392665,1.4182734664817522,3.6250030429444027,0.006530925854782943,0.41378749405864845,0.025724785626786442,0.0012249897917517355,3,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,3,h9_rs6_top_decile AND h11_insider_cluster AND ctl_pe_lt_15,239896,103,1,0.004335211925167573,0.009708737864077669,2.2395070948469002,0.39580336318225434,12.215825500999488,0.000384172109104879,0.6097567794951567,0.04854368932038835,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
0,2,h9_rs12_top_decile AND h11_insider_cluster,320901,888,15,0.007550615298799318,0.016891891891891893,2.23715435410648,1.3592304339866375,3.666267233603254,0.005762581636573185,0.8156516169372364,0.0518018018018018,0.0045045045045045045,4,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
3,2,h9_rs12_top_decile AND ctl_pe_lt_15,293725,4671,38,0.003666695037875564,0.008135302932990795,2.21870181429222,1.6180654215788557,3.0397983879721577,0.014598540145985401,0.7465768918915484,0.0265467779918647,0.0006422607578676942,3,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,3,h10_sponsorship AND h11_insider_cluster AND ctl_pe_lt_15,125716,150,1,0.0030465493652359287,0.006666666666666667,2.1882680591818975,0.38660175195105045,12.076889541537879,0.000384172109104879,0.3195392307125301,0.02,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,2,h5_peg_lt_05 AND h9_rs12_top_decile,162796,7615,50,0.0030590432197351285,0.006565988181221274,2.14641889949819,1.6293560800411966,2.826141699785673,0.01920860545524395,0.41378749405864845,0.024294156270518712,0.0015758371634931056,12,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,3,h9_rs6_top_decile AND h10_sponsorship AND h11_insider_cluster,154752,79,1,0.006617038875103391,0.012658227848101266,1.9129746835443038,0.33821681760616323,10.318168105561515,0.000384172109104879,0.3933416194535736,0.08860759493670886,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
