feature,direction,lag,bucket_type,bucket,label,decile,rows,row_share,events,rate,base,coverage,lift,ci_low,ci_high,sufficient,window
realized_vol_12m,n/a,3,mst,13-24,win_100,9,1423,0.0999087270940111,130,0.09135628952916373,0.04739170118654778,0.9921287266648091,1.927685380390932,1.6346017676462794,2.267198383912251,True,holdout
realized_vol_12m,n/a,3,mst,13-24,win_100,10,1428,0.10025977673242996,170,0.11904761904761904,0.04739170118654778,0.9921287266648091,2.5119929453262784,2.17895825875646,2.8881596367128464,True,holdout
realized_vol_12m,n/a,3,mst,13-24,launch_300,1,1427,0.1001895668047462,7,0.004905395935529082,0.02113318823281612,0.9921287266648091,0.23211812063036782,0.11253311352236067,0.4774965234851302,False,holdout
realized_vol_12m,n/a,3,mst,13-24,launch_300,2,1423,0.0999087270940111,1,0.0007027406886858749,0.02113318823281612,0.9921287266648091,0.03325294228888012,0.005870470528276828,0.18785226044058723,False,holdout
realized_vol_12m,n/a,3,mst,13-24,launch_300,3,1424,0.09997893702169487,6,0.004213483146067416,0.02113318823281612,0.9921287266648091,0.19937754302138935,0.0914421670477111,0.43354678616012904,False,holdout
realized_vol_12m,n/a,3,mst,13-24,launch_300,4,1423,0.0999087270940111,21,0.014757554462403373,0.02113318823281612,0.9921287266648091,0.6983117880664825,0.4576885375760007,1.0625708336773825,False,holdout
realized_vol_12m,n/a,3,mst,13-24,launch_300,5,1422,0.09983851716632731,21,0.014767932489451477,0.02113318823281612,0.9921287266648091,0.6988028652732803,0.458011056260876,1.0633145340744286,False,holdout
realized_vol_12m,n/a,3,mst,13-24,launch_300,6,1426,0.10011935687706242,36,0.025245441795231416,0.02113318823281612,0.9921287266648091,1.1945874667424619,0.8654875784664764,1.6443971246091003,False,holdout
realized_vol_12m,n/a,3,mst,13-24,launch_300,7,1423,0.0999087270940111,27,0.018973998594518624,0.02113318823281612,0.9921287266648091,0.8978294417997633,0.6185740221030434,1.299646341235696,False,holdout
realized_vol_12m,n/a,3,mst,13-24,launch_300,8,1424,0.09997893702169487,21,0.014747191011235955,0.02113318823281612,0.9921287266648091,0.6978214005748627,0.45736647279222264,1.0618281728490857,False,holdout
realized_vol_12m,n/a,3,mst,13-24,launch_300,9,1423,0.0999087270940111,69,0.04848910751932537,0.02113318823281612,0.9921287266648091,2.2944530179327285,1.8214654326095017,2.882481875326728,False,holdout
realized_vol_12m,n/a,3,mst,13-24,launch_300,10,1428,0.10025977673242996,92,0.06442577030812324,0.02113318823281612,0.9921287266648091,3.0485589584671073,2.499586158812214,3.7081249537341283,False,holdout
realized_vol_12m,n/a,6,all,ALL,win_50,1,15956,0.10013806953683946,942,0.059037352719979945,0.17042173967616417,0.9663470577176161,0.3464191413147341,0.3255764202669501,0.36850745037673394,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_50,2,15923,0.09993096523158027,1650,0.10362368900332852,0.17042173967616417,0.9663470577176161,0.6080426663888922,0.580824332404523,0.6363829651550542,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_50,3,15933,0.09999372411196185,2253,0.14140463189606478,0.17042173967616417,0.9663470577176161,0.8297335314424218,0.7984936663107038,0.8619877834310867,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_50,4,15919,0.09990586167942764,2472,0.1552861360638231,0.17042173967616417,0.9663470577176161,0.9111873658777232,0.878662625660284,0.9446880826158013,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_50,5,15922,0.09992468934354211,2694,0.16919984926516768,0.17042173967616417,0.9663470577176161,0.9928301963510152,0.9591271434158752,1.0274696559615448,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_50,6,15938,0.10002510355215263,3054,0.19161751788179193,0.17042173967616417,0.9663470577176161,1.1243725022752615,1.088956650294551,1.1606604263795368,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_50,7,15930,0.09997489644784736,3277,0.2057124921531701,0.17042173967616417,0.9663470577176161,1.207078935727716,1.170664565883843,1.2443259364749502,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_50,8,15922,0.09992468934354211,3571,0.224280869237533,0.17042173967616417,0.9663470577176161,1.316034384249991,1.278410663862822,1.3544385916895543,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_50,9,15934,0.1,3686,0.23132923308648173,0.17042173967616417,0.9663470577176161,1.3573927453507642,1.3193564706144265,1.3961889824823395,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_50,10,15963,0.10018200075310657,3556,0.2227651443964167,0.17042173967616417,0.9663470577176161,1.307140420111399,1.2696582057745336,1.3454053969429247,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_100,1,15956,0.10013806953683946,108,0.006768613687641012,0.05816493033764278,0.9663470577176161,0.11636932509589112,0.09644540980360843,0.14037537295358607,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_100,2,15923,0.09993096523158027,162,0.010173962193054073,0.05816493033764278,0.9663470577176161,0.1749157462064346,0.15007548858686148,0.20381835237053664,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_100,3,15933,0.09999372411196185,385,0.02416368543274964,0.05816493033764278,0.9663470577176161,0.4154339271530349,0.37637052927930126,0.45844117425040376,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_100,4,15919,0.09990586167942764,563,0.03536654312456813,0.05816493033764278,0.9663470577176161,0.6080389492305444,0.5606049850373406,0.659327296539225,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_100,5,15922,0.09992468934354211,711,0.044655194071096596,0.05816493033764278,0.9663470577176161,0.7677339904281971,0.7144391897924239,0.8248054083030782,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_100,6,15938,0.10002510355215263,950,0.059605973145940516,0.05816493033764278,0.9663470577176161,1.024775114487933,0.9633877490750301,1.089811429850137,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_100,7,15930,0.09997489644784736,1138,0.0714375392341494,0.05816493033764278,0.9663470577176161,1.228189199565102,1.1611890067724457,1.2987420929442326,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_100,8,15922,0.09992468934354211,1491,0.09364401457103379,0.05816493033764278,0.9663470577176161,1.609973811151114,1.5338504747947284,1.6894674528229512,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_100,9,15934,0.1,1767,0.11089494163424124,0.05816493033764278,0.9663470577176161,1.9065602071644365,1.824345418246267,1.9919997928259063,True,holdout
realized_vol_12m,n/a,6,all,ALL,win_100,10,15963,0.10018200075310657,1993,0.12485121844264863,0.05816493033764278,0.9663470577176161,2.1465033606659074,2.059892988490582,2.2362172167609176,True,holdout
realized_vol_12m,n/a,6,all,ALL,launch_300,1,13564,0.1001521036076613,19,0.0014007667354762607,0.012685145532141116,0.963291724456773,0.11042575206780669,0.0707107681475683,0.1723979897112301,False,holdout
realized_vol_12m,n/a,6,all,ALL,launch_300,2,13533,0.09992320982914187,16,0.0011822951304219316,0.012685145532141116,0.963291724456773,0.09320311914642834,0.05738238364011165,0.1513418533392441,False,holdout
realized_vol_12m,n/a,6,all,ALL,launch_300,3,13542,0.09998966286161526,27,0.001993797075764289,0.012685145532141116,0.963291724456773,0.1571757352497443,0.10805327699782799,0.2285650799454201,False,holdout
realized_vol_12m,n/a,6,all,ALL,launch_300,4,13531,0.09990844248859224,78,0.005764540684354445,0.012685145532141116,0.963291724456773,0.45443236498536665,0.36434093413549096,0.5666400442020093,False,holdout
realized_vol_12m,n/a,6,all,ALL,launch_300,5,13533,0.09992320982914187,89,0.006576516662971994,0.012685145532141116,0.963291724456773,0.5184423502520077,0.4215752066522896,0.6373861453929592,False,holdout
realized_vol_12m,n/a,6,all,ALL,launch_300,6,13547,0.10002658121298935,149,0.010998745109618365,0.012685145532141116,0.963291724456773,0.8670570693690651,0.7391215363386565,1.0168487915178794,True,holdout
realized_vol_12m,n/a,6,all,ALL,launch_300,7,13541,0.09998227919134044,188,0.01388376043128277,0.012685145532141116,0.963291724456773,1.0944896450816943,0.9496383394140393,1.2610778170505832,True,holdout
realized_vol_12m,n/a,6,all,ALL,launch_300,8,13532,0.09991582615886704,222,0.016405557197753474,0.012685145532141116,0.963291724456773,1.2932888437255787,1.1350621042654474,1.4731540643143788,True,holdout
realized_vol_12m,n/a,6,all,ALL,launch_300,9,13543,0.09999704653189007,385,0.028427970169091044,0.012685145532141116,0.963291724456773,2.2410440697792064,2.0307144869831837,2.4724570560663484,True,holdout
realized_vol_12m,n/a,6,all,ALL,launch_300,10,13568,0.10018163828876057,545,0.04016804245283019,0.012685145532141116,0.963291724456773,3.1665417121982564,2.916181876688564,3.437422197251006,True,holdout
