feature,direction,lag,bucket_type,bucket,label,decile,rows,row_share,events,rate,base,coverage,lift,ci_low,ci_high,sufficient
fcf_ps_slope,HIGH,12,drawdown,0-10,launch_300,2,28657,0.0999393186954217,90,0.003140593921205988,0.004791730602907123,0.9428615583928766,0.6554195511952619,0.5334181818626573,0.805216668817597,False
fcf_ps_slope,HIGH,12,drawdown,0-10,launch_300,3,28671,0.09998814273358815,112,0.00390638624393987,0.004791730602907123,0.9428615583928766,0.815234946966735,0.6777920458960753,0.9804172058141637,True
fcf_ps_slope,HIGH,12,drawdown,0-10,launch_300,4,28648,0.09990793181374327,163,0.00568975146607093,0.004791730602907123,0.9428615583928766,1.187410549044427,1.0189607007386587,1.3835222247065082,True
fcf_ps_slope,HIGH,12,drawdown,0-10,launch_300,5,28651,0.09991839410763607,240,0.008376670971344804,0.004791730602907123,0.9428615583928766,1.7481514854492681,1.541252098073808,1.9825594586428223,True
fcf_ps_slope,HIGH,12,drawdown,0-10,launch_300,6,28682,0.10002650447786178,225,0.007844641238407363,0.004791730602907123,0.9428615583928766,1.6371206748659977,1.4373732521889133,1.864376692927793,True
fcf_ps_slope,HIGH,12,drawdown,0-10,launch_300,7,28661,0.09995326842061211,168,0.005861623809357664,0.004791730602907123,0.9428615583928766,1.22327908121576,1.0521595885292387,1.422038242449885,True
fcf_ps_slope,HIGH,12,drawdown,0-10,launch_300,8,28652,0.09992188153893368,116,0.004048582995951417,0.004791730602907123,0.9428615583928766,0.8449103948989033,0.7047258865562267,1.0128446970675626,True
fcf_ps_slope,HIGH,12,drawdown,0-10,launch_300,9,28669,0.09998116787099294,77,0.0026858278977292547,0.004791730602907123,0.9428615583928766,0.5605131256961262,0.4486281937969058,0.7002076032369492,False
fcf_ps_slope,HIGH,12,drawdown,0-10,launch_300,10,28730,0.10019390118014675,90,0.003132613992342499,0.004791730602907123,0.9428615583928766,0.653754196957975,0.53206246505015,0.8031715057220178,False
fcf_ps_slope,HIGH,12,drawdown,10-20,win_50,1,3703,0.10014604067503245,257,0.06940318660545504,0.08002488100389442,0.9504421139214476,0.8672701006837802,0.7704612330086356,0.9752313583336781,True
fcf_ps_slope,HIGH,12,drawdown,10-20,win_50,2,3696,0.09995672868887927,274,0.07413419913419914,0.08002488100389442,0.9504421139214476,0.9263893704583127,0.8262792724001866,1.0375501942003786,True
