label,category,bucket,winners,population,winner_share,population_share,ratio,sufficient,winner_coverage,population_coverage
launch_300,scalemarketcap,2 - Micro,0,4783,0.0,0.009038888195964155,0.0,False,1.0,1.0
launch_300,scalemarketcap,3 - Small,337,123304,0.07835387119274587,0.23301924944912483,0.33625492905835186,True,1.0,1.0
launch_300,scalemarketcap,4 - Mid,1942,211575,0.4515229016507789,0.39983332010477024,1.1292778239003798,True,1.0,1.0
launch_300,scalemarketcap,5 - Large,1798,173737,0.41804231574052547,0.32832726709224846,1.273248851497522,True,1.0,1.0
launch_300,scalemarketcap,6 - Mega,224,15712,0.05208091141594978,0.02969245480555902,1.7540116422505827,True,1.0,1.0
launch_300,drawdown_bucket,0-10,2840,402582,0.6603115554522204,0.760797342192691,0.8679204287821762,True,1.0,1.0
launch_300,drawdown_bucket,10-20,636,73674,0.14787258777028597,0.13922873697458982,1.0620838124623204,True,1.0,1.0
launch_300,drawdown_bucket,20-30,171,30925,0.039758195768425944,0.05844190204060035,0.6803029056242113,True,1.0,1.0
launch_300,drawdown_bucket,>30,654,21977,0.15205766100906765,0.0415320187921188,3.6612152606923702,True,1.0,1.0
launch_300,mst_bucket,0-12,3628,419038,0.8435247616833295,0.7918958042777393,1.065196654820869,True,1.0,1.0
launch_300,mst_bucket,13-24,435,48283,0.1011392699372239,0.0912449589725564,1.1084367955893695,True,1.0,1.0
launch_300,mst_bucket,>24,238,61837,0.05533596837944664,0.11685923674970425,0.47352669689233345,True,1.0,1.0
win_100,sector,Basic Materials,1428,32301,0.07011341876565032,0.0578612769570568,1.2117502836601197,True,1.0,0.9998764145164584
win_100,sector,Communication Services,837,23233,0.0410958904109589,0.04161762940909881,0.9874635099224119,True,1.0,0.9998764145164584
win_100,sector,Consumer Cyclical,2922,71405,0.14346737369273826,0.127908872205772,1.1216373908913582,True,1.0,0.9998764145164584
win_100,sector,Consumer Defensive,662,28493,0.032503559679874304,0.05103994812350761,0.636825876100451,True,1.0,0.9998764145164584
win_100,sector,Energy,1592,39576,0.07816566013649531,0.07089309609152905,1.1025849405078425,True,1.0,0.9998764145164584
win_100,sector,Financial Services,1586,87503,0.07787106594000098,0.1567454666286908,0.49679947761722004,True,1.0,0.9998764145164584
win_100,sector,Healthcare,4804,85877,0.23587175332645946,0.1538327878778108,1.533299607843109,True,1.0,0.9998764145164584
win_100,sector,Industrials,2663,81606,0.13075072421073305,0.14618208003955224,0.894437431560394,True,1.0,0.9998764145164584
win_100,sector,Real Estate,98,3356,0.004811705209407375,0.00601165429763421,0.8003961923261196,False,1.0,0.9998764145164584
win_100,sector,Technology,3675,86927,0.18043894535277655,0.15571366899000266,1.1587868073698868,True,1.0,0.9998764145164584
win_100,sector,Utilities,100,17972,0.004909903274905484,0.03219351937934506,0.15251216299313997,True,1.0,0.9998764145164584
win_100,exchange,NASDAQ,11590,269542,0.5690577895615456,0.4827750493446387,1.1787224512410794,True,1.0,1.0
win_100,exchange,NYSE,8667,284865,0.42554131683605834,0.5102199821607041,0.8340349882690904,True,1.0,1.0
win_100,exchange,NYSEMKT,110,3911,0.005400893602396033,0.007004968494657167,0.7710089783437862,True,1.0,1.0
win_100,price_bucket,1 5-10,5339,62887,0.2621397358472038,0.11263652613743422,2.3273066458686076,True,1.0,1.0
win_100,price_bucket,2 10-20,6364,119915,0.31246624441498505,0.21477903273761548,1.4548265742341293,True,1.0,1.0
win_100,price_bucket,3 20-50,5746,213689,0.28212304217606915,0.38273707815259406,0.7371197050931895,True,1.0,1.0
win_100,price_bucket,4 50+,2918,161827,0.14327097756174204,0.28984736297235625,0.49429801980087806,True,1.0,1.0
win_100,profitable,false,9610,131448,0.4720039292730845,0.23547873941270045,2.0044439275082477,True,0.9996563067707566,0.9998173084156341
win_100,profitable,true,10750,426768,0.5279960707269156,0.7645212605872995,0.6906231362634873,True,0.9996563067707566,0.9998173084156341
win_100,ceo_change_12m,false,3305,93483,0.16227230323562625,0.16743683707134643,0.9691553308934071,True,1.0,1.0
win_100,ceo_change_12m,true,17062,464835,0.8377276967643738,0.8325631629286535,1.006203173603734,True,1.0,1.0
win_100,financing_12m,false,10729,315335,0.5267835223646095,0.5647946152551055,0.9326992647170914,True,1.0,1.0
win_100,financing_12m,true,9638,242983,0.4732164776353906,0.4352053847448945,1.0873405849809905,True,1.0,1.0
win_100,deal_12m,false,17214,466084,0.8451907497422301,0.8348002392901537,1.0124467027715656,True,1.0,1.0
win_100,deal_12m,true,3153,92234,0.15480925025776993,0.16519976070984635,0.9371033565216471,True,1.0,1.0
win_100,ipo_lt_3y,false,17083,503283,0.838758776452104,0.9014271436708112,0.9304787218149347,True,1.0,1.0
win_100,ipo_lt_3y,true,3284,55035,0.1612412235478961,0.09857285632918875,1.6357568356284955,True,1.0,1.0
win_100,scalemarketcap,1 - Nano,1,64,4.909903274905484e-05,0.00011463001371977977,0.4283261525997938,False,1.0,1.0
win_100,scalemarketcap,2 - Micro,48,5046,0.0023567535719546326,0.009037860144218887,0.26076455425813844,False,1.0,1.0
win_100,scalemarketcap,3 - Small,3584,129115,0.17597093337261255,0.2312570972098338,0.7609320340683134,True,1.0,1.0
win_100,scalemarketcap,4 - Mid,9509,223454,0.4668827024107625,0.4002271107146823,1.1665444191850318,True,1.0,1.0
win_100,scalemarketcap,5 - Large,6672,183976,0.3275887465016939,0.32951830318922193,0.9941443110478145,True,1.0,1.0
win_100,scalemarketcap,6 - Mega,553,16663,0.02715176511022733,0.029844998728323285,0.9097592986144093,True,1.0,1.0
win_100,drawdown_bucket,0-10,14535,431742,0.7136544410075122,0.7732904903657055,0.9228801464634717,True,1.0,1.0
win_100,drawdown_bucket,10-20,2473,73674,0.12142190798841263,0.13195705673111022,0.9201622936758499,True,1.0,1.0
win_100,drawdown_bucket,20-30,1197,30925,0.05877154220061865,0.055389580848190456,1.0610577170045272,True,1.0,1.0
win_100,drawdown_bucket,>30,2162,21977,0.10615210880345657,0.039362872054993746,2.696757204483245,True,1.0,1.0
win_100,mst_bucket,0-12,17493,448198,0.8588893798792164,0.802764732643404,1.0699141914854693,True,1.0,1.0
win_100,mst_bucket,13-24,1560,48283,0.07659449108852556,0.08647938988175198,0.8856964785859084,True,1.0,1.0
win_100,mst_bucket,>24,1314,61837,0.06451612903225806,0.11075587747484408,0.5825074975990469,True,1.0,1.0
