label,cluster,field,mean_z
win_100,2,ev12_t12,0.01844922666395782
win_100,2,ev21_t12,0.01310701628934309
win_100,2,ev22_t12,-0.05803092153111402
win_100,2,ev23_t12,-0.05026264735299616
win_100,2,ev32_t12,-0.021690201359631196
win_100,2,ev53_t12,-0.07765575194274502
win_100,2,ev71_t12,-0.10459768077453888
win_100,2,ev81_t12,-0.03944262509364768
win_100,2,insider_net_buys_12m,-0.04892097701718464
win_100,2,officer_buys_12m,-0.0842758397893526
win_100,2,inst_pct,0.014544058757102532
win_100,2,inst_pct_delta_4q,0.10147482132629114
win_100,2,spy_drawdown,0.21237410788793343
win_100,2,months_since_trough,0.13976889558118052
win_100,2,pr_ret_6m_skip1,0.5603433787110981
win_100,2,pr_ret_12m_skip1,0.6394115197997591
win_100,2,pr_eps_growth_q0,0.34013529786185565
win_100,2,pr_rev_growth_accel,0.18730775544124137
win_100,2,pr_op_margin_delta,0.256167156104274
win_100,2,pr_pe,0.28026535555634086
win_100,2,pr_fcf_ps_slope,0.06241006034189274
win_100,2,pr_pct_from_52w_high,-0.6939839530243967
win_100,2,pr_dist_above_30w_sma,0.5338146815138636
win_100,2,pr_atr_contraction,0.04536805070314364
win_100,2,pr_inst_pct,0.016002257257571668
win_100,2,pr_inst_pct_delta_qoq,0.14207416656110577
win_100,2,pr_insider_buy_count_90d,-0.2288637644146175
win_100,2,pr_net_debt_to_ebitda,-0.2814064787197275
win_100,2,pr_share_count_change_8q,-0.009605919597834245
win_100,2,pr_shareholder_yield,-0.06446002960827517
win_100,2,pr_marketcap,0.38165758669264116
win_100,2,pr_pb,0.4999250066855413
win_100,2,pr_dividend_yield,-0.13614057388507397
win_100,2,pr_realized_vol_12m,-0.3350670533103666
